replica,block,lo_ps,hi_ps,D_cm2_s,R2,alpha
4,1,20,100,1.384483898480843e-06,0.9949870652839476,0.7591944519624833
4,2,20,100,1.6546700097878967e-06,0.9995399755149186,0.8830572377847077
4,3,20,100,2.077703580459907e-06,0.9976615084883843,0.8456397550044182
4,4,20,100,1.53214433555926e-06,0.9969607939316844,0.8543369772149249
5,1,20,100,1.2896674361245648e-06,0.9966256622226336,0.8747850487932965
5,2,20,100,1.982944305844565e-06,0.9976443342484426,0.9883214479165
5,3,20,100,1.5051225200915168e-06,0.9849199744028767,0.876982005900501
5,4,20,100,1.2776938369432505e-06,0.9998426019648621,0.826771198186872
