model,temperature_K_or_fit,D_mean_or_Ea,D_std_or_R2,n_or_D300,replicas_or_nT
MACE-MPA-0,400,1.2698185608946124e-06,7.683246700101334e-07,3
MACE-MPA-0,500,4.8513059030491766e-06,1.225209013884867e-06,3
MACE-MPA-0,600,7.563600017886463e-06,6.645126328373923e-07,3
MACE-MPA-0,700,1.283447993077009e-05,2.1049164210393643e-06,3
MACE-MPA-0,800,1.8882651632734087e-05,2.097559093833021e-06,3
MACE-MPA-0,900,3.318067056136607e-05,4.689369202401918e-06,3
MACE-MPA-0,1000,3.8720971139315884e-05,7.825655429667365e-06,5
MACE-MPA-0,fit,0.19154594069042188,0.9889020699944866,2.0711573292795762e-07,7
SevenNet-nano,400,8.624707279789747e-07,6.239474130035144e-08,3
SevenNet-nano,500,2.1244864872437477e-06,3.848689993047462e-07,3
SevenNet-nano,600,6.6107012663201024e-06,1.5840472795279674e-06,3
SevenNet-nano,700,1.0764335855531156e-05,5.291338770980171e-07,3
SevenNet-nano,800,1.5198752783257446e-05,2.814954321120651e-06,3
SevenNet-nano,900,2.2524273406450704e-05,3.8187789488364205e-06,3
SevenNet-nano,1000,3.232467144948573e-05,6.369166142312588e-06,5
SevenNet-nano,fit,0.20981187810797244,0.992256036072088,1.0238778483704879e-07,7
M3GNet-GPU,400,1.8453333568028522e-07,9.508942065909964e-08,3
M3GNet-GPU,600,3.2215317928230824e-06,5.692135546490476e-07,3
M3GNet-GPU,800,2.5023945767835796e-05,3.1523774336593934e-06,3
M3GNet-GPU,1000,6.51710918371567e-05,8.229882266329901e-06,3
M3GNet-GPU,fit,0.3391946257346108,0.9938952405826573,6.175696525640873e-09,4
