temperature_K,D_mean_cm2_s,D_std_cm2_s
400,8.624707279789747e-07,6.239474130035144e-08
500,2.1244864872437477e-06,3.848689993047462e-07
600,6.6107012663201024e-06,1.5840472795279674e-06
700,1.0764335855531156e-05,5.291338770980171e-07
800,1.5198752783257446e-05,2.814954321120651e-06
900,2.2524273406450704e-05,3.8187789488364205e-06
1000,3.232467144948573e-05,6.369166142312588e-06
