temperature_K,D_mean_cm2_s,D_std_cm2_s
400,1.2698185608946124e-06,7.683246700101334e-07
500,4.8513059030491766e-06,1.225209013884867e-06
600,7.563600017886463e-06,6.645126328373923e-07
700,1.283447993077009e-05,2.1049164210393643e-06
800,1.8882651632734087e-05,2.097559093833021e-06
900,3.318067056136607e-05,4.689369202401918e-06
1000,3.8720971139315884e-05,7.825655429667365e-06
