temperature_K,D_mean_cm2_s,D_std_cm2_s
400,1.8453333568028522e-07,9.508942065909964e-08
600,3.2215317928230824e-06,5.692135546490476e-07
800,2.5023945767835796e-05,3.1523774336593934e-06
1000,6.51710918371567e-05,8.229882266329901e-06
