model,direction,D_cm2_s,R2
MACE-MPA-0,x,8.720223150229708e-07,0.9564458483697367
MACE-MPA-0,y,9.724183018739438e-07,0.9756972151863464
MACE-MPA-0,z,1.4699971275349887e-06,0.9488511902092215
M3GNet,x,3.252986654128165e-07,0.8536901712346504
M3GNet,y,6.916884790947621e-07,0.9545860214372572
M3GNet,z,3.769133902738452e-06,0.9808683673883296
