T_K,NEP89_apparent_D_cm2_s,Chen2025_glass_D_cm2_s,NEP89_over_Chen
3.000000000000000000e+02,5.400971379416107432e-08,1.185832960518210023e-09,4.554580248010544352e+01
5.000000000000000000e+02,4.209273087788993376e-07,9.350334809255529543e-08,4.501735150299002619e+00
7.000000000000000000e+02,7.924743392086516347e-06,1.523708743716789955e-06,5.200956826404797617e+00
9.000000000000000000e+02,3.064674160909106331e-05,9.106381448502779493e-06,3.365413779600658906e+00
