r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
2.500000000000000139e-02,1.569563033651431416e-03,3.737399624124380405e-04,1.095914431001227435e-04,0.000000000000000000e+00
7.500000000000001110e-02,1.192867905575087893e-02,3.630616777720827113e-03,8.767315448009819481e-04,6.997925115203341713e-05
1.250000000000000000e-01,2.961242256822366539e-02,8.596019135486073631e-03,4.548044888655092440e-03,0.000000000000000000e+00
1.750000000000000167e-01,5.985267034990792573e-02,1.628438407654194536e-02,6.685078029107488669e-03,2.799170046081337227e-04
2.250000000000000056e-01,9.579566382052571993e-02,2.413292328720314725e-02,1.090434858846221593e-02,1.399585023040668614e-04
2.750000000000000222e-01,1.359764774820022282e-01,3.726721339484021650e-02,1.419209188146588335e-02,3.498962557601668281e-04
3.250000000000000666e-01,1.728612087728110258e-01,4.863958653681873384e-02,2.027441697352271380e-02,6.997925115203344152e-04
3.750000000000000000e-01,2.252846140967688371e-01,6.940885016230995130e-02,2.761704366123093543e-02,8.397510138244012766e-04
4.250000000000000444e-01,2.804285953457225089e-01,8.606697420126432907e-02,3.293222865158688950e-02,1.119668018432534891e-03
4.749999999999999778e-01,3.227021597187343938e-01,9.840039296087478571e-02,3.912414518674382780e-02,1.399585023040668830e-03
5.250000000000000222e-01,3.704168759417375001e-01,1.126559029557490932e-01,4.997369805365593082e-02,2.099377534561000860e-03
5.750000000000000666e-01,4.196488364306040220e-01,1.289402870322910177e-01,5.430256005611076853e-02,1.819460529952867354e-03
6.250000000000000000e-01,4.496798091411357001e-01,1.431957970271657554e-01,6.164518674381912200e-02,2.449273790321173164e-03
6.750000000000000444e-01,4.780889000502255848e-01,1.641252349222619422e-01,6.668639312642463124e-02,2.729190794929301032e-03
7.250000000000000888e-01,5.060271220492221778e-01,1.768857850674870058e-01,7.967297913378934560e-02,2.659211543777273510e-03
7.750000000000000222e-01,5.376276577934031575e-01,1.930633862976249837e-01,7.775512887953701935e-02,2.799170046081334625e-03
8.250000000000000666e-01,5.513874937217474459e-01,1.972813087305653190e-01,8.871427318954927532e-02,3.638921059905734709e-03
8.750000000000000000e-01,5.538987945755908804e-01,2.161284811207930256e-01,1.003309661581625045e-01,4.828568329490312734e-03
9.250000000000000444e-01,5.541603884145316350e-01,2.161818725439943467e-01,9.901586884096082175e-02,4.548651324882168820e-03
9.750000000000000888e-01,5.596015402645244663e-01,2.275008542627715291e-01,1.051529896545679160e-01,4.338713571426077581e-03
1.024999999999999911e+00,5.447953289804113863e-01,2.419699299504525225e-01,1.079475714536207998e-01,6.648028859443169680e-03
1.075000000000000178e+00,5.474112673698304787e-01,2.371113104390908666e-01,1.129887778362264478e-01,5.738298594466735569e-03
1.125000000000000000e+00,5.390402645236894719e-01,2.403681872543992626e-01,1.175916184464316089e-01,8.817385645156203267e-03
1.175000000000000266e+00,5.198915955131420130e-01,2.538762173244487608e-01,1.194546729791336886e-01,6.368111854835036174e-03
1.225000000000000089e+00,5.050330654612440462e-01,2.446928925337442384e-01,1.252630194634407335e-01,7.137883617507434324e-03
1.274999999999999911e+00,4.900698978737648148e-01,2.441055868785236005e-01,1.284959670348937988e-01,9.167281900916370366e-03
1.325000000000000178e+00,4.795538255483002277e-01,2.526482145908078847e-01,1.344139049623004345e-01,9.447198905524504739e-03
1.375000000000000000e+00,4.549116859199728302e-01,2.472022894242266455e-01,1.341399263545501042e-01,9.867074412436702829e-03
1.425000000000000266e+00,4.369140298007697654e-01,2.513134290107634783e-01,1.303590215675958786e-01,1.028694991934890265e-02
1.475000000000000089e+00,4.234681064791577243e-01,2.484302921578686596e-01,1.356742065579524259e-01,9.937053663588780658e-03
1.524999999999999911e+00,4.136844969027285712e-01,2.490709892362888422e-01,1.357290022795019091e-01,1.140661793778143841e-02
1.575000000000000178e+00,3.964193035325628278e-01,2.448530668033484792e-01,1.377016482553040932e-01,1.182649344469363650e-02
1.625000000000000000e+00,3.712539762263515897e-01,2.411690586024258787e-01,1.417017359284585831e-01,1.259626520736600516e-02
1.675000000000000266e+00,3.578603716725260453e-01,2.379121817871175104e-01,1.418113273715587153e-01,1.294616146312617226e-02
1.725000000000000089e+00,3.426879290138971079e-01,2.339612164701870556e-01,1.409345958267583521e-01,1.322607846773436388e-02
1.774999999999999911e+00,3.158484011384561363e-01,2.276076371091745876e-01,1.419757145362088857e-01,1.441572573731887165e-02
1.825000000000000178e+00,3.145927507115349742e-01,2.285686827268065824e-01,1.405510257759073067e-01,1.511551824883920585e-02
1.875000000000000000e+00,2.917294491880124685e-01,2.250448487954893051e-01,1.447702963352620331e-01,1.826458455068070627e-02
1.925000000000000266e+00,2.856604721245602496e-01,2.178903980864511924e-01,1.415373487638084127e-01,1.616520701611970368e-02
1.975000000000000089e+00,2.722145488029475424e-01,2.228024090210156405e-01,1.457566193231637774e-01,1.679502027648808321e-02
2.025000000000000355e+00,2.644713711702648129e-01,2.232829318298296395e-01,1.413729615991575761e-01,1.777472979261639219e-02
2.075000000000000178e+00,2.496128411183668461e-01,2.176768323936450755e-01,1.472908995265654886e-01,1.903435631335315820e-02
2.125000000000000000e+00,2.367947430102134709e-01,2.104689902614051422e-01,1.417017359284591937e-01,1.910433556450519266e-02
2.174999999999999822e+00,2.238720073664813293e-01,2.138326499231152367e-01,1.467977380326136450e-01,2.078383759215381502e-02
2.225000000000000089e+00,2.173321613929356244e-01,2.155411754655739975e-01,1.488799754515172935e-01,1.945423182026536149e-02
2.275000000000000355e+00,2.092750711535230901e-01,2.136190842303081205e-01,1.458662107662626051e-01,2.127369235021804583e-02
2.325000000000000178e+00,2.013749372174793717e-01,2.128716043054851015e-01,1.507978257057694393e-01,2.085381684330603336e-02
2.375000000000000000e+00,1.971894357944070919e-01,2.080663762173233233e-01,1.501950727687174081e-01,2.519253041473189930e-02
2.425000000000000266e+00,1.875627825213467548e-01,2.080129847941234178e-01,1.505238470980191368e-01,2.624221918201262438e-02
2.475000000000000089e+00,1.718148334170439828e-01,2.071053305996932159e-01,1.582500438365777862e-01,2.379294539169144948e-02
2.525000000000000355e+00,1.688849824208931150e-01,2.009653169314870313e-01,1.563321935823242526e-01,2.722192869814085356e-02
2.575000000000000178e+00,1.561192030805295949e-01,2.082265504869305062e-01,1.544143433280734945e-01,2.827161746542160292e-02
2.625000000000000000e+00,1.537125397622627065e-01,2.074256791389020305e-01,1.608802384709793198e-01,2.771178345620508784e-02
