lag_ps,alpha2
1.000000000000000056e-01,3.613081677396881020e-01
2.000000000000000111e-01,4.314216095159832953e-01
3.000000000000000444e-01,5.544653664027587858e-01
4.000000000000000222e-01,6.571172701574612418e-01
5.000000000000000000e-01,7.485737966626442308e-01
6.000000000000000888e-01,8.448053723101847101e-01
7.000000000000000666e-01,9.016810575873011047e-01
8.000000000000000444e-01,9.579780885598188078e-01
9.000000000000000222e-01,1.010677745678770112e+00
1.000000000000000000e+00,1.058112387412486921e+00
1.100000000000000089e+00,1.097492967863438196e+00
1.200000000000000178e+00,1.116618123629731230e+00
1.300000000000000044e+00,1.134764927643876931e+00
1.400000000000000133e+00,1.155239921711312956e+00
1.500000000000000000e+00,1.177382652963580245e+00
1.600000000000000089e+00,1.199155152510638978e+00
1.700000000000000178e+00,1.229134706315476055e+00
1.800000000000000044e+00,1.252227335868372649e+00
1.900000000000000133e+00,1.283917732593683247e+00
2.000000000000000000e+00,1.315766056686309415e+00
2.200000000000000178e+00,1.362121073587493125e+00
2.300000000000000266e+00,1.380759249539335709e+00
2.400000000000000355e+00,1.378002320674203585e+00
2.600000000000000089e+00,1.412002751561084679e+00
2.700000000000000178e+00,1.428235298280529975e+00
2.900000000000000355e+00,1.450246543152926115e+00
3.100000000000000089e+00,1.465010692938361281e+00
3.300000000000000266e+00,1.483184463492442706e+00
3.400000000000000355e+00,1.489239462314953855e+00
3.700000000000000178e+00,1.519452874125796882e+00
3.900000000000000355e+00,1.540427922833240704e+00
4.100000000000000533e+00,1.557789617605600974e+00
4.400000000000000355e+00,1.593831682433165753e+00
4.600000000000000533e+00,1.626605104379874156e+00
4.900000000000000355e+00,1.647879455433277407e+00
5.200000000000000178e+00,1.662862330530268551e+00
5.500000000000000000e+00,1.669410771479145517e+00
5.800000000000000711e+00,1.695990572130658958e+00
6.200000000000000178e+00,1.727923196603999401e+00
6.500000000000000000e+00,1.756176160683276866e+00
6.900000000000000355e+00,1.802192166785746341e+00
7.300000000000000711e+00,1.839939285032317073e+00
7.800000000000000711e+00,1.838096245603852097e+00
8.200000000000001066e+00,1.879624821388839795e+00
8.700000000000001066e+00,1.900679683808930154e+00
9.300000000000000711e+00,1.941710166041855423e+00
9.800000000000000711e+00,1.966184314968691726e+00
1.040000000000000036e+01,1.992082399218193967e+00
1.100000000000000000e+01,2.010460788380007635e+00
1.170000000000000107e+01,2.054712453694020891e+00
1.240000000000000036e+01,2.078931887635262932e+00
1.310000000000000142e+01,2.105951219736989177e+00
1.390000000000000036e+01,2.167419894781441148e+00
1.470000000000000107e+01,2.206030918330342150e+00
1.560000000000000142e+01,2.249175297745202862e+00
1.650000000000000000e+01,2.292853445651347855e+00
1.750000000000000000e+01,2.319026320312460587e+00
1.860000000000000142e+01,2.369397038972678171e+00
1.970000000000000284e+01,2.408982040669467750e+00
2.090000000000000213e+01,2.459138558405066455e+00
2.210000000000000142e+01,2.517907415757226097e+00
2.340000000000000213e+01,2.573235351667430226e+00
2.480000000000000071e+01,2.617424147963282266e+00
2.630000000000000071e+01,2.722455757646448760e+00
2.790000000000000213e+01,2.799509161896062359e+00
2.960000000000000142e+01,2.880368108940684291e+00
3.130000000000000071e+01,3.032815054143837230e+00
3.320000000000000284e+01,3.215264501390988627e+00
3.520000000000000284e+01,3.323152863140570012e+00
3.730000000000000426e+01,3.367043769928041996e+00
3.950000000000000000e+01,3.401730432015275696e+00
4.190000000000000568e+01,3.452842253197979439e+00
4.440000000000000568e+01,3.580362546256642631e+00
4.700000000000000000e+01,3.631470656779756112e+00
4.980000000000000426e+01,3.641837305439506345e+00
5.280000000000000426e+01,3.666662301628717202e+00
5.600000000000000000e+01,3.653401731731192648e+00
5.930000000000000426e+01,3.795207937081837457e+00
6.290000000000000568e+01,3.894892774072899577e+00
6.660000000000000853e+01,3.947482330534119122e+00
7.060000000000000853e+01,3.867495487268193699e+00
7.479999999999999716e+01,4.108631449479598352e+00
7.930000000000001137e+01,4.233972569777242789e+00
8.400000000000000000e+01,4.318371787317370369e+00
8.900000000000000000e+01,4.448081134995785391e+00
9.440000000000000568e+01,4.424966894012019480e+00
1.000000000000000000e+02,4.458567269596535709e+00
