r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
2.500000000000000139e-02,1.846852502929851106e-02,1.409533572526909355e-02,1.331536033666491300e-02,1.068731956473462086e-02
7.500000000000001110e-02,1.075150678051230574e-01,9.567743037758413838e-02,9.550894266175696812e-02,8.001610037752610038e-02
1.250000000000000000e-01,2.764000502260169911e-01,2.424504527592686864e-01,2.350736454497631966e-01,1.932739284921163037e-01
1.750000000000000167e-01,5.107358111501758557e-01,4.405860242610628030e-01,4.264203051025776681e-01,3.630218743060182884e-01
2.250000000000000056e-01,7.453331659132765852e-01,6.672326157526056178e-01,6.385893389444153856e-01,5.528258938485455243e-01
2.750000000000000222e-01,9.899234053239569509e-01,8.633927045959329805e-01,8.405115728563905542e-01,7.262519431490112032e-01
3.250000000000000666e-01,1.177957056755399634e+00,1.051116948573381560e+00,1.007254953533228248e+00,8.820508549855653468e-01
3.750000000000000000e-01,1.319479323622970268e+00,1.189347343242781685e+00,1.152682798527091323e+00,9.925327559404842903e-01
4.250000000000000444e-01,1.386499665159886430e+00,1.286946864855629924e+00,1.220629493249167474e+00,1.078725294248279232e+00
4.749999999999999778e-01,1.403712539762263845e+00,1.294581838373483951e+00,1.239150447133088084e+00,1.107039751276926776e+00
5.250000000000000222e-01,1.377500837100283482e+00,1.274026140440798427e+00,1.235533929510782780e+00,1.110301465689539357e+00
5.750000000000000666e-01,1.263393604553824545e+00,1.207607209977788143e+00,1.176628528844466670e+00,1.051174217188539872e+00
6.250000000000000000e-01,1.181043864054915238e+00,1.129281992140783952e+00,1.097503506926180705e+00,9.988479902287378254e-01
6.750000000000000444e-01,1.060344466767117799e+00,1.039424226892191161e+00,1.006213834823775910e+00,9.198034643570944802e-01
7.250000000000000888e-01,9.382847815168269268e-01,9.205749188450379483e-01,8.977731018762067361e-01,8.202170775038873929e-01
7.750000000000000222e-01,8.179516156035485652e-01,8.000704766786255195e-01,7.923461336138868383e-01,7.335387519431484371e-01
8.250000000000000666e-01,7.041582956638199331e-01,7.048201776866558355e-01,6.914672102402238396e-01,6.473462136353536067e-01
8.750000000000000000e-01,5.978465595178309444e-01,6.087690073466606178e-01,6.047255830264780530e-01,5.681628914057301749e-01
9.250000000000000444e-01,5.161246442323785821e-01,5.282547411583798924e-01,5.287787129580917567e-01,4.866894292693755841e-01
9.750000000000000888e-01,4.350305541603890491e-01,4.484345634717245010e-01,4.481194108364024431e-01,4.238840772818126545e-01
1.024999999999999911e+00,3.782646911099946663e-01,3.891700837177512473e-01,3.893783973347357819e-01,3.698228958472126182e-01
1.075000000000000178e+00,3.266260673028625883e-01,3.345506577823335603e-01,3.374868490268276844e-01,3.265184321563399106e-01
1.125000000000000000e+00,2.712728109827555190e-01,2.974436186570986740e-01,2.960064878134312516e-01,2.743310015545189495e-01
1.175000000000000266e+00,2.426544450025110711e-01,2.565991799077393942e-01,2.623071190601435343e-01,2.533033533200086951e-01
1.225000000000000089e+00,2.128850661309232561e-01,2.245643259866743069e-01,2.292652989654575812e-01,2.236703308905182153e-01
1.274999999999999911e+00,1.808136614766447381e-01,2.000042713138559525e-01,2.066894616868313050e-01,2.053492116366864850e-01
