r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
2.500000000000000139e-02,4.096559517830235947e-02,3.651973347001537945e-02,3.769945642644222106e-02,3.178436597823672966e-02
7.500000000000001110e-02,2.851896032144650706e-01,2.577737912181787272e-01,2.521151148518323559e-01,2.376887630468576540e-01
1.250000000000000000e-01,7.072451029633346486e-01,6.493464889800100170e-01,6.249452042784496841e-01,5.865534088385518929e-01
1.750000000000000167e-01,1.187845303867403723e+00,1.089932513241073320e+00,1.061831492197089499e+00,1.005302020874972335e+00
2.250000000000000056e-01,1.623399045705675947e+00,1.493892021185716956e+00,1.451648255304226254e+00,1.382550521874306382e+00
2.750000000000000222e-01,1.905815754227354608e+00,1.791175465573208836e+00,1.726503594599332114e+00,1.659935043304462177e+00
3.250000000000000666e-01,2.011865896534405174e+00,1.905486502648214842e+00,1.880589163598106683e+00,1.813374417055296783e+00
3.750000000000000000e-01,1.970481751213795762e+00,1.897958311976764456e+00,1.867821760476942261e+00,1.801715522984677298e+00
4.250000000000000444e-01,1.808607483676544669e+00,1.765814539552366558e+00,1.748750657548658882e+00,1.679991117033089454e+00
4.749999999999999778e-01,1.575579691947095462e+00,1.555932854946181720e+00,1.548581886726284829e+00,1.511353542083056167e+00
5.250000000000000222e-01,1.327484095094591199e+00,1.311987442337261944e+00,1.316138435910922944e+00,1.320230957139683525e+00
5.750000000000000666e-01,1.074575171605557378e+00,1.093616521441994616e+00,1.097996668420128774e+00,1.093021319120585311e+00
6.250000000000000000e-01,8.676544450025125421e-01,8.778083888604146789e-01,8.943757671401028064e-01,9.112674883411071569e-01
6.750000000000000444e-01,6.793068809643388883e-01,6.981996412096355131e-01,7.216048570927575678e-01,7.241699977792576126e-01
7.250000000000000888e-01,5.317156370333172566e-01,5.640269947035716491e-01,5.766701735928466688e-01,5.914112813679777148e-01
7.750000000000000222e-01,4.125334840113841772e-01,4.439496839227742297e-01,4.541469402069082673e-01,4.774594714634683990e-01
8.250000000000000666e-01,3.337937384898707616e-01,3.576691440287029233e-01,3.672409258285109779e-01,3.748195647346210246e-01
8.750000000000000000e-01,2.647329650092084541e-01,2.915705621049038410e-01,3.017052428546382892e-01,3.037558294470357190e-01
9.250000000000000444e-01,2.097459400636194349e-01,2.424504527592685199e-01,2.413751534280201283e-01,2.504580279813455879e-01
9.750000000000000888e-01,1.750585970199232122e-01,2.004314026994706288e-01,1.998947922146241674e-01,2.086109260493007322e-01
1.024999999999999911e+00,1.460216808973713587e-01,1.687168973176147446e-01,1.735928458705942590e-01,1.814762380635130679e-01
1.075000000000000178e+00,1.182404152017410559e-01,1.426618827951476598e-01,1.477840610205153893e-01,1.584360426382410147e-01
1.125000000000000000e+00,1.005043529214798975e-01,1.200239193575942942e-01,1.266877082237417573e-01,1.356734399289361293e-01
1.175000000000000266e+00,8.564582286957969637e-02,1.127626858021526512e-01,1.167148869016306212e-01,1.167971352431711185e-01
1.225000000000000089e+00,7.225221831575448506e-02,9.423586195113649311e-02,1.008241276521132795e-01,1.043054630246506020e-01
1.274999999999999911e+00,6.592164741336006828e-02,8.547966854604469034e-02,8.898825179729959178e-02,9.056462358427706805e-02
1.325000000000000178e+00,5.404528712539757168e-02,7.330642405603957079e-02,8.186480799579161360e-02,8.598434377081937141e-02
1.375000000000000000e+00,5.116775489703661445e-02,7.042328720314362800e-02,7.380983692793259554e-02,8.182045303131238456e-02
1.425000000000000266e+00,4.101791394609070190e-02,6.503075345976416788e-02,6.942617920392769870e-02,7.529702420608476443e-02
1.475000000000000089e+00,3.688473129080876989e-02,5.755595421151566554e-02,6.482333859372282903e-02,6.752442815900534800e-02
1.524999999999999911e+00,3.505357441821527198e-02,5.184307192892528837e-02,5.485051727161138063e-02,6.169498112369526527e-02
1.575000000000000178e+00,2.861836598024440972e-02,4.922689219203821992e-02,4.997369805365593082e-02,6.093160115478564454e-02
1.625000000000000000e+00,2.647329650092078782e-02,4.255296429181612550e-02,4.969971944590562130e-02,5.413057961359089149e-02
1.675000000000000266e+00,2.270634522015735693e-02,3.785451905005976503e-02,4.312423285989826216e-02,4.864812347324001807e-02
1.725000000000000089e+00,1.993345052737325110e-02,3.598581923799773485e-02,3.841180080659315627e-02,4.497001998667570638e-02
1.774999999999999911e+00,1.512012389084210935e-02,3.043311122501278498e-02,3.572681045063998140e-02,4.337386186986449954e-02
1.825000000000000178e+00,1.355056085719067924e-02,2.600162309926530926e-02,3.397334736103801989e-02,4.032034199422603049e-02
1.875000000000000000e+00,1.192867905575087026e-02,2.530753459764220961e-02,2.690469928108010778e-02,3.948756384632463173e-02
1.925000000000000266e+00,9.626653273062104818e-03,2.237100632154448779e-02,2.739786077503066075e-02,3.775260937153005619e-02
1.975000000000000089e+00,8.266365310564235264e-03,1.879378096702552514e-02,2.317859021567604538e-02,3.372751499000678499e-02
2.025000000000000355e+00,7.429265025950069351e-03,1.713864684777028149e-02,2.197308434157449128e-02,3.220075505218725903e-02
2.075000000000000178e+00,5.702745688933554685e-03,1.580386126772600694e-02,1.726065228826939579e-02,2.796746613368875090e-02
