lag_ps,alpha2
1.000000000000000056e-01,3.527070295026784041e-01
2.000000000000000111e-01,4.452372693599890852e-01
3.000000000000000444e-01,5.425852829451247583e-01
4.000000000000000222e-01,6.496105670145431166e-01
5.000000000000000000e-01,7.373288799489103873e-01
6.000000000000000888e-01,8.269139925100477129e-01
7.000000000000000666e-01,8.951072034138356504e-01
8.000000000000000444e-01,9.552790446757406517e-01
9.000000000000000222e-01,1.025380736398195491e+00
1.000000000000000000e+00,1.077332136812681362e+00
1.100000000000000089e+00,1.122531749939111645e+00
1.200000000000000178e+00,1.165583827775118486e+00
1.300000000000000044e+00,1.198122668262221246e+00
1.400000000000000133e+00,1.225822733368066686e+00
1.500000000000000000e+00,1.259457224283330845e+00
1.600000000000000089e+00,1.282481751117019453e+00
1.700000000000000178e+00,1.309071708621266428e+00
1.800000000000000044e+00,1.335486174253422309e+00
1.900000000000000133e+00,1.365262808463976629e+00
2.000000000000000000e+00,1.397179818187028744e+00
2.200000000000000178e+00,1.464838529375110276e+00
2.300000000000000266e+00,1.489768395261758638e+00
2.400000000000000355e+00,1.517957551360786805e+00
2.600000000000000089e+00,1.558326330628049483e+00
2.700000000000000178e+00,1.572722293755851375e+00
2.900000000000000355e+00,1.612921448586503548e+00
3.100000000000000089e+00,1.660352410596267259e+00
3.300000000000000266e+00,1.696791812173787495e+00
3.400000000000000355e+00,1.716463444918417292e+00
3.700000000000000178e+00,1.773399358108202151e+00
3.900000000000000355e+00,1.806735645685476843e+00
4.100000000000000533e+00,1.839989896102064204e+00
4.400000000000000355e+00,1.876166254075203987e+00
4.600000000000000533e+00,1.900457416547680634e+00
4.900000000000000355e+00,1.947649415780260629e+00
5.200000000000000178e+00,2.000483583180278746e+00
5.500000000000000000e+00,2.032221645208857286e+00
5.800000000000000711e+00,2.051692293705003500e+00
6.200000000000000178e+00,2.062553059796240262e+00
6.500000000000000000e+00,2.060396915537920925e+00
6.900000000000000355e+00,2.083206730504616466e+00
7.300000000000000711e+00,2.090913661818481817e+00
7.800000000000000711e+00,2.100337963094089488e+00
8.200000000000001066e+00,2.127109801821118307e+00
8.700000000000001066e+00,2.165729504298528507e+00
9.300000000000000711e+00,2.189448410913313658e+00
9.800000000000000711e+00,2.204123573929223756e+00
1.040000000000000036e+01,2.222739366742202627e+00
1.100000000000000000e+01,2.240500084279254622e+00
1.170000000000000107e+01,2.267381691296041613e+00
1.240000000000000036e+01,2.265728934761852109e+00
1.310000000000000142e+01,2.292642743834782504e+00
1.390000000000000036e+01,2.336426276130747492e+00
1.470000000000000107e+01,2.344393002568246676e+00
1.560000000000000142e+01,2.362914556182666548e+00
1.650000000000000000e+01,2.390163528348800526e+00
1.750000000000000000e+01,2.436720382331204249e+00
1.860000000000000142e+01,2.464071596725203150e+00
1.970000000000000284e+01,2.472224254525549281e+00
2.090000000000000213e+01,2.472472911327952882e+00
2.210000000000000142e+01,2.479381014110613624e+00
2.340000000000000213e+01,2.471076399295756065e+00
2.480000000000000071e+01,2.443193558067921600e+00
2.630000000000000071e+01,2.433964574183025142e+00
2.790000000000000213e+01,2.444192604606408192e+00
2.960000000000000142e+01,2.463491350196758578e+00
3.130000000000000071e+01,2.443460919550362043e+00
3.320000000000000284e+01,2.431106951894381307e+00
3.520000000000000284e+01,2.440321634347171642e+00
3.730000000000000426e+01,2.466179159604275473e+00
3.950000000000000000e+01,2.502622104539403480e+00
4.190000000000000568e+01,2.551116194964881068e+00
4.440000000000000568e+01,2.590578127796806740e+00
4.700000000000000000e+01,2.636429665573741588e+00
4.980000000000000426e+01,2.670050621726499873e+00
5.280000000000000426e+01,2.720058832556792705e+00
5.600000000000000000e+01,2.786441630737888531e+00
5.930000000000000426e+01,2.844069648118974225e+00
6.290000000000000568e+01,2.875162716589393153e+00
6.660000000000000853e+01,2.928266487437298782e+00
7.060000000000000853e+01,2.987391516748050257e+00
7.479999999999999716e+01,3.034735175568544996e+00
7.930000000000001137e+01,3.101813400572853929e+00
8.400000000000000000e+01,3.105498073183354357e+00
8.900000000000000000e+01,3.083712037559616093e+00
9.440000000000000568e+01,3.111174464474222745e+00
1.000000000000000000e+02,3.117514933098230578e+00
