lag_ps,alpha2
1.000000000000000056e-01,3.462457690879028327e-01
2.000000000000000111e-01,4.629133646108676281e-01
3.000000000000000444e-01,5.471551789413551248e-01
4.000000000000000222e-01,6.567282282692972206e-01
5.000000000000000000e-01,7.337963512587462045e-01
6.000000000000000888e-01,8.119807453932355035e-01
7.000000000000000666e-01,8.736562313379598876e-01
8.000000000000000444e-01,9.287624845796720319e-01
9.000000000000000222e-01,9.741708519342577866e-01
1.000000000000000000e+00,1.017511253963390594e+00
1.100000000000000089e+00,1.058345958947035204e+00
1.200000000000000178e+00,1.087106876327359473e+00
1.300000000000000044e+00,1.110398179575240007e+00
1.400000000000000133e+00,1.131604870524042461e+00
1.500000000000000000e+00,1.150039250658145384e+00
1.600000000000000089e+00,1.162718595173164893e+00
1.700000000000000178e+00,1.173880288206864186e+00
1.800000000000000044e+00,1.185529115645323373e+00
1.900000000000000133e+00,1.193318922162079687e+00
2.000000000000000000e+00,1.199110256250690565e+00
2.200000000000000178e+00,1.208475057983795509e+00
2.300000000000000266e+00,1.216030942107422241e+00
2.400000000000000355e+00,1.214438104616470060e+00
2.600000000000000089e+00,1.220992897726043580e+00
2.700000000000000178e+00,1.222774102934050866e+00
2.900000000000000355e+00,1.224958334355151557e+00
3.100000000000000089e+00,1.223658648468062271e+00
3.300000000000000266e+00,1.220134084522567441e+00
3.400000000000000355e+00,1.218168888279371309e+00
3.700000000000000178e+00,1.206386277570402399e+00
3.900000000000000355e+00,1.199384625627080148e+00
4.100000000000000533e+00,1.188852032065838227e+00
4.400000000000000355e+00,1.174464862842153678e+00
4.600000000000000533e+00,1.164835946239087150e+00
4.900000000000000355e+00,1.155979456924872473e+00
5.200000000000000178e+00,1.137619636746507457e+00
5.500000000000000000e+00,1.123277972193082341e+00
5.800000000000000711e+00,1.109357086847464924e+00
6.200000000000000178e+00,1.090014148001345884e+00
6.500000000000000000e+00,1.076710544225871757e+00
6.900000000000000355e+00,1.059712340943261832e+00
7.300000000000000711e+00,1.040177987147573813e+00
7.800000000000000711e+00,1.020711159062474671e+00
8.200000000000001066e+00,1.005771606997519108e+00
8.700000000000001066e+00,9.886037826474940449e-01
9.300000000000000711e+00,9.699125101505101654e-01
9.800000000000000711e+00,9.525485149148504860e-01
1.040000000000000036e+01,9.366144801621627547e-01
1.100000000000000000e+01,9.241693595248923199e-01
1.170000000000000107e+01,9.127014871502479032e-01
1.240000000000000036e+01,9.024790296379749943e-01
1.310000000000000142e+01,8.911744079397583285e-01
1.390000000000000036e+01,8.804417308826244515e-01
1.470000000000000107e+01,8.671615510545940264e-01
1.560000000000000142e+01,8.537732700253539697e-01
1.650000000000000000e+01,8.432289574869638038e-01
1.750000000000000000e+01,8.325573065737585932e-01
1.860000000000000142e+01,8.174039588155586067e-01
1.970000000000000284e+01,8.050904298139649473e-01
2.090000000000000213e+01,7.894780851017075829e-01
2.210000000000000142e+01,7.747733596863404237e-01
2.340000000000000213e+01,7.630934695035156423e-01
2.480000000000000071e+01,7.504344535299596330e-01
2.630000000000000071e+01,7.374708678704982034e-01
2.790000000000000213e+01,7.218444852651002552e-01
2.960000000000000142e+01,7.027876432729638356e-01
3.130000000000000071e+01,6.864663810573503611e-01
3.320000000000000284e+01,6.659813504542175799e-01
3.520000000000000284e+01,6.456482396365559318e-01
3.730000000000000426e+01,6.231376081646120557e-01
3.950000000000000000e+01,5.999168527306220078e-01
4.190000000000000568e+01,5.740104631259004275e-01
4.440000000000000568e+01,5.560283283671147991e-01
4.700000000000000000e+01,5.388701728659583967e-01
4.980000000000000426e+01,5.225083179553731139e-01
5.280000000000000426e+01,5.076707021299682321e-01
5.600000000000000000e+01,4.862471369144274469e-01
5.930000000000000426e+01,4.704101592467546666e-01
6.290000000000000568e+01,4.571345774430426445e-01
6.660000000000000853e+01,4.439942893826001047e-01
7.060000000000000853e+01,4.315786907580152487e-01
7.479999999999999716e+01,4.186122256000373021e-01
7.930000000000001137e+01,4.056484217507903001e-01
8.400000000000000000e+01,3.912820524858475757e-01
8.900000000000000000e+01,3.708534006178616504e-01
9.440000000000000568e+01,3.544878783798595112e-01
1.000000000000000000e+02,3.383567175089798873e-01
