lag_ps,Li_MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.409087852922408846e-01
2.000000000000000111e-01,3.232996085253505014e-01
3.000000000000000444e-01,3.774654596399352746e-01
4.000000000000000222e-01,4.266499584775776954e-01
5.000000000000000000e-01,4.578110885694445797e-01
6.000000000000000888e-01,4.830570198712990093e-01
7.000000000000000666e-01,5.051916183247371350e-01
8.000000000000000444e-01,5.218495494650527977e-01
9.000000000000000222e-01,5.346872371551806280e-01
1.000000000000000000e+00,5.470121313159512777e-01
1.100000000000000089e+00,5.561839290842309769e-01
1.200000000000000178e+00,5.641442355378400997e-01
1.300000000000000044e+00,5.720206227149668976e-01
1.400000000000000133e+00,5.773678774401680425e-01
1.500000000000000000e+00,5.823564865677783864e-01
1.600000000000000089e+00,5.866994063579689112e-01
1.700000000000000178e+00,5.899440948786968120e-01
1.800000000000000044e+00,5.932747274413663341e-01
1.900000000000000133e+00,5.942248184039277126e-01
2.000000000000000000e+00,5.979186189122074335e-01
2.100000000000000089e+00,5.999163385686950845e-01
2.200000000000000178e+00,6.029356625228357025e-01
2.300000000000000266e+00,6.057720749243865610e-01
2.400000000000000355e+00,6.105564315465824565e-01
2.500000000000000000e+00,6.147221213900923020e-01
2.600000000000000089e+00,6.194129376713479740e-01
2.700000000000000178e+00,6.233976723940130027e-01
2.800000000000000266e+00,6.272975101208527748e-01
2.900000000000000355e+00,6.297209865349459035e-01
3.000000000000000000e+00,6.332129243648287886e-01
3.100000000000000089e+00,6.368819174254215509e-01
3.200000000000000178e+00,6.398475780402546054e-01
3.300000000000000266e+00,6.423017659449208328e-01
3.400000000000000355e+00,6.467727019863104276e-01
3.500000000000000000e+00,6.505076470829391777e-01
3.600000000000000089e+00,6.535769341009098898e-01
3.700000000000000178e+00,6.573814423636387128e-01
3.800000000000000266e+00,6.621062897801154312e-01
3.900000000000000355e+00,6.660261526020810896e-01
4.000000000000000000e+00,6.715822252838324902e-01
4.100000000000000533e+00,6.760910622072159315e-01
4.200000000000000178e+00,6.789137107212596112e-01
4.299999999999999822e+00,6.833593080370271577e-01
4.400000000000000355e+00,6.862527834430582896e-01
4.500000000000000000e+00,6.887406324104078381e-01
4.600000000000000533e+00,6.911795031685197266e-01
4.700000000000000178e+00,6.942053622409004587e-01
4.800000000000000711e+00,6.962743160756290628e-01
4.900000000000000355e+00,6.976740822914301310e-01
5.000000000000000000e+00,7.003152733056793311e-01
5.100000000000000533e+00,7.010180111306070216e-01
5.200000000000000178e+00,7.009801705478690970e-01
5.300000000000000711e+00,7.026219128231125932e-01
5.400000000000000355e+00,7.032829525250318126e-01
5.500000000000000000e+00,7.057918209294095080e-01
5.600000000000000533e+00,7.058262899847920213e-01
5.700000000000000178e+00,7.067073635434928391e-01
5.800000000000000711e+00,7.089706607562020757e-01
5.900000000000000355e+00,7.118482554840666054e-01
6.000000000000000000e+00,7.139432728280080687e-01
6.100000000000000533e+00,7.159185624584257779e-01
6.200000000000000178e+00,7.165861926585643804e-01
6.300000000000000711e+00,7.190941514436658411e-01
6.400000000000000355e+00,7.196375243702168856e-01
6.500000000000000000e+00,7.222057020862111543e-01
6.600000000000000533e+00,7.259983660279258899e-01
6.700000000000000178e+00,7.284697446745017624e-01
6.800000000000000711e+00,7.334332929338607254e-01
6.900000000000000355e+00,7.359312576019568786e-01
7.000000000000000000e+00,7.394659393613285392e-01
7.100000000000000533e+00,7.431616727215013540e-01
7.200000000000000178e+00,7.468026289341982427e-01
7.300000000000000711e+00,7.490957972711403956e-01
7.400000000000000355e+00,7.516768666214469485e-01
7.500000000000000000e+00,7.544342409601322297e-01
7.600000000000000533e+00,7.566318871064333651e-01
7.700000000000000178e+00,7.585365242334245472e-01
7.800000000000000711e+00,7.607004604747769072e-01
7.900000000000000355e+00,7.643168684283812020e-01
8.000000000000000000e+00,7.665555072233449785e-01
8.099999999999999645e+00,7.689850615991280502e-01
8.200000000000001066e+00,7.716309090824298167e-01
8.300000000000000711e+00,7.741809239384576102e-01
8.400000000000000355e+00,7.770725587225212339e-01
8.500000000000000000e+00,7.782221116396790261e-01
8.599999999999999645e+00,7.801865148693308827e-01
8.700000000000001066e+00,7.813003209350231071e-01
8.800000000000000711e+00,7.850360098677160448e-01
8.900000000000000355e+00,7.876595798964040052e-01
9.000000000000000000e+00,7.898499533689278262e-01
9.099999999999999645e+00,7.930067881064417623e-01
9.200000000000001066e+00,7.944572351658960585e-01
9.300000000000000711e+00,7.984837369004755825e-01
9.400000000000000355e+00,8.004047721967598727e-01
9.500000000000000000e+00,8.029273654665979310e-01
9.600000000000001421e+00,8.055799231775353508e-01
9.700000000000001066e+00,8.084033954329798988e-01
9.800000000000000711e+00,8.099084095381908766e-01
9.900000000000000355e+00,8.122320777251477164e-01
1.000000000000000000e+01,8.155032971899520700e-01
1.010000000000000142e+01,8.170627821363155574e-01
1.020000000000000107e+01,8.199701955533935660e-01
1.030000000000000071e+01,8.231572984281444461e-01
1.040000000000000036e+01,8.252373948614485366e-01
1.050000000000000000e+01,8.269437921757669674e-01
1.060000000000000142e+01,8.287234680166442047e-01
1.070000000000000107e+01,8.292912420705486065e-01
1.080000000000000071e+01,8.307446384693866204e-01
1.090000000000000036e+01,8.341997928165743037e-01
1.100000000000000000e+01,8.360418262077903284e-01
1.110000000000000142e+01,8.372667402001103820e-01
1.120000000000000107e+01,8.387843751621156807e-01
1.130000000000000071e+01,8.407791304418374967e-01
1.140000000000000036e+01,8.429372400462562531e-01
1.150000000000000000e+01,8.453288651033425971e-01
1.160000000000000142e+01,8.471777214789355526e-01
1.170000000000000107e+01,8.495260639222852461e-01
1.180000000000000071e+01,8.506804109037748862e-01
1.190000000000000036e+01,8.510990641003169932e-01
1.200000000000000000e+01,8.523024187428349663e-01
1.210000000000000142e+01,8.545198001364630036e-01
1.220000000000000107e+01,8.555078285587600639e-01
1.230000000000000071e+01,8.562680887341727054e-01
1.240000000000000036e+01,8.563956747806860115e-01
1.250000000000000000e+01,8.586835773539234218e-01
1.260000000000000142e+01,8.592921402934108333e-01
1.270000000000000107e+01,8.611328266363714734e-01
1.280000000000000071e+01,8.614876536405475793e-01
1.290000000000000036e+01,8.621761012072933772e-01
1.300000000000000000e+01,8.623488468045567013e-01
1.310000000000000142e+01,8.637421041215347373e-01
1.320000000000000107e+01,8.666578759323652070e-01
1.330000000000000071e+01,8.676593478869344400e-01
1.340000000000000036e+01,8.705639204358283090e-01
1.350000000000000000e+01,8.733900559220193482e-01
1.360000000000000142e+01,8.751725921010078402e-01
1.370000000000000107e+01,8.782458471607678119e-01
1.380000000000000071e+01,8.781481999590400322e-01
