r_A,Li_S,P_S
4.425000000000000711e+00,8.098281809797034381e-01,1.093029391617006629e+00
4.474999999999999645e+00,8.929508789447165862e-01,1.124744748217822110e+00
4.525000000000000355e+00,9.691792793828767349e-01,1.068075124217864325e+00
4.575000000000000178e+00,1.009135416547552566e+00,1.102904636669227889e+00
4.625000000000000000e+00,1.009280319442035445e+00,1.175309116579686730e+00
4.675000000000000711e+00,1.080458547420528825e+00,1.163132156589909982e+00
4.724999999999999645e+00,1.017246312170335454e+00,1.172135668344419734e+00
4.775000000000000355e+00,1.124489460423158338e+00,1.377260481295921934e+00
4.825000000000001066e+00,1.207019509667801582e+00,1.380980192879347479e+00
4.875000000000000000e+00,1.069654162869789316e+00,1.451111713599089414e+00
4.925000000000000711e+00,1.139235983758443149e+00,1.548949939585887670e+00
4.974999999999999645e+00,1.195749075150772667e+00,1.427346790758922568e+00
