lag_ps,Li_A2,P_A2,S_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.867455437765033754e-01,4.965000593451258937e-02,8.378953221928495121e-02
2.000000000000000111e-01,2.341730901713970914e-01,7.461933339894120942e-02,1.233478595560013047e-01
3.000000000000000444e-01,2.540405044344296592e-01,7.874357599147768783e-02,1.224341548004830166e-01
4.000000000000000222e-01,2.616761253474523818e-01,7.886010246295094284e-02,1.243737723212428314e-01
5.000000000000000000e-01,2.655365847664957757e-01,7.642973304880573693e-02,1.209103193707881801e-01
6.000000000000000888e-01,2.674476447700241954e-01,7.339900290049219955e-02,1.181474795080943163e-01
7.000000000000000666e-01,2.700814224040194444e-01,7.182456467749800955e-02,1.156050804348024985e-01
8.000000000000000444e-01,2.713207889684304264e-01,6.939756847350334046e-02,1.141014081456754314e-01
9.000000000000000222e-01,2.725283479370669282e-01,6.760664001875847651e-02,1.121646832963819063e-01
1.000000000000000000e+00,2.731572702759942350e-01,6.573915379886104138e-02,1.104258940939743527e-01
1.100000000000000089e+00,2.756849951811301547e-01,6.599429356402074232e-02,1.106350120319724711e-01
1.200000000000000178e+00,2.810168299471965114e-01,6.813402393233894405e-02,1.133119747463770394e-01
1.300000000000000044e+00,2.845805294711952760e-01,6.993723925923334139e-02,1.149896148105670340e-01
1.400000000000000133e+00,2.891516537625896111e-01,7.175588995840326278e-02,1.171485807353740277e-01
1.500000000000000000e+00,2.926306226973052205e-01,7.332831923061161605e-02,1.192451132619147258e-01
1.600000000000000089e+00,2.954912661750357938e-01,7.397360271963991651e-02,1.200466694010205726e-01
1.700000000000000178e+00,2.971245375641373698e-01,7.371374252180490361e-02,1.200280027498253771e-01
1.800000000000000044e+00,2.986392713181598713e-01,7.277980053028999807e-02,1.191796428047556256e-01
1.900000000000000133e+00,2.985780172162544877e-01,7.150340091844405166e-02,1.179304344946200123e-01
2.000000000000000000e+00,2.992657211119752469e-01,7.081952940820346321e-02,1.171643794627823254e-01
2.100000000000000089e+00,3.000909684577805492e-01,7.028550178899969914e-02,1.165248128809067696e-01
2.200000000000000178e+00,3.010378411703893975e-01,6.997288889343399043e-02,1.164593041597228318e-01
2.300000000000000266e+00,3.025319029427334105e-01,7.059175142657768409e-02,1.169813132274097195e-01
2.400000000000000355e+00,3.049496221026266607e-01,7.165371978981686929e-02,1.179996717825205210e-01
2.500000000000000000e+00,3.080734394292010125e-01,7.247447536651263622e-02,1.190953413136041777e-01
2.600000000000000089e+00,3.105050770486454947e-01,7.362131111832448394e-02,1.205789646585520153e-01
2.700000000000000178e+00,3.130357970697660863e-01,7.399661337746285539e-02,1.212660503988571142e-01
2.800000000000000266e+00,3.137295197326183116e-01,7.363832029660126455e-02,1.210219444786774234e-01
2.900000000000000355e+00,3.143039656234768997e-01,7.296393380231906700e-02,1.201990906143795695e-01
3.000000000000000000e+00,3.149122171895473166e-01,7.235900989668296590e-02,1.194385777341851890e-01
3.100000000000000089e+00,3.154116465571474293e-01,7.201174957803015142e-02,1.191563442339364787e-01
3.200000000000000178e+00,3.165036907887926465e-01,7.180993228529335137e-02,1.191928909566455502e-01
3.300000000000000266e+00,3.178229377668256861e-01,7.211795545473763391e-02,1.195798682779387473e-01
3.400000000000000355e+00,3.188118718502860327e-01,7.273831977423436679e-02,1.202592091566014598e-01
3.500000000000000000e+00,3.198879091109917971e-01,7.317040087440312979e-02,1.208711782165183130e-01
3.600000000000000089e+00,3.205692778357079886e-01,7.335195589594784016e-02,1.210475648067177029e-01
3.700000000000000178e+00,3.217517659677731623e-01,7.350218816160269952e-02,1.211981406798993965e-01
3.800000000000000266e+00,3.223590266965589701e-01,7.331865071044732507e-02,1.209137136499285198e-01
3.900000000000000355e+00,3.230314461957097816e-01,7.322932470505912061e-02,1.209096994713278195e-01
4.000000000000000000e+00,3.237781159062598779e-01,7.325312876535225448e-02,1.209411351628311981e-01
4.100000000000000533e+00,3.235725843457115669e-01,7.277144645420553781e-02,1.205482594218036524e-01
4.200000000000000178e+00,3.239224523615567564e-01,7.266084973836545169e-02,1.206363443880270475e-01
4.299999999999999822e+00,3.245179667208474283e-01,7.264061855744208263e-02,1.207240240445693474e-01
4.400000000000000355e+00,3.264492909723011871e-01,7.306503567167690893e-02,1.210531864910034255e-01
4.500000000000000000e+00,3.269297815792942541e-01,7.349636979284931981e-02,1.213460175714210498e-01
4.600000000000000533e+00,3.278823152895862236e-01,7.369210758790073479e-02,1.216443212834211196e-01
4.700000000000000178e+00,3.290626852667872804e-01,7.372458042027904557e-02,1.219285832685316900e-01
4.800000000000000711e+00,3.299802971884722158e-01,7.348600768575426490e-02,1.217152242806727597e-01
4.900000000000000355e+00,3.304496832243964399e-01,7.339717900489946267e-02,1.216019849939387193e-01
5.000000000000000000e+00,3.315776803246336946e-01,7.360452547757330433e-02,1.218937959377882352e-01
5.100000000000000533e+00,3.322957773287227856e-01,7.363759979277940959e-02,1.218335486689944985e-01
5.200000000000000178e+00,3.333025984776202266e-01,7.381733915136477753e-02,1.222073830142668543e-01
5.300000000000000711e+00,3.342654308433600785e-01,7.402223981019144528e-02,1.227496819057583427e-01
5.400000000000000355e+00,3.345957662562356050e-01,7.381594934372733008e-02,1.224731444585015483e-01
5.500000000000000000e+00,3.350336392688751941e-01,7.373634813189769432e-02,1.224513427298191820e-01
5.600000000000000533e+00,3.348875260850830426e-01,7.372319913238079003e-02,1.224087641389352971e-01
5.700000000000000178e+00,3.358627517552930097e-01,7.370041081852878040e-02,1.222341222361640473e-01
5.800000000000000711e+00,3.365938488966895847e-01,7.360101135365440528e-02,1.221646627723837475e-01
5.900000000000000355e+00,3.380930596867275928e-01,7.376010945928569706e-02,1.224653730819190156e-01
6.000000000000000000e+00,3.379775258846060559e-01,7.396758577801114398e-02,1.225939042571281834e-01
6.100000000000000533e+00,3.387415150241687156e-01,7.401604258568796058e-02,1.227919700151832716e-01
6.200000000000000178e+00,3.401418695847795437e-01,7.424270148871742192e-02,1.231753999028060986e-01
6.300000000000000711e+00,3.403338062524824958e-01,7.445950700240654141e-02,1.233411349973188020e-01
6.400000000000000355e+00,3.415290219602725719e-01,7.454713217264800906e-02,1.235615872173176921e-01
6.500000000000000000e+00,3.419825249145392321e-01,7.463754222709087505e-02,1.237131910787823835e-01
6.600000000000000533e+00,3.423411587934021560e-01,7.441968276130700444e-02,1.234338626212594520e-01
6.700000000000000178e+00,3.426749963240021679e-01,7.403672608202349625e-02,1.230627975010024217e-01
6.800000000000000711e+00,3.434453343294013306e-01,7.378835654972729086e-02,1.230141985816831374e-01
6.900000000000000355e+00,3.438126931675675735e-01,7.380603576163682900e-02,1.230906998377850059e-01
7.000000000000000000e+00,3.451206764810828553e-01,7.436085781169061992e-02,1.237567499663561332e-01
7.100000000000000533e+00,3.458952833993162446e-01,7.458586152618330856e-02,1.238521176518948275e-01
7.200000000000000178e+00,3.460828799951616852e-01,7.438476528219387096e-02,1.234809257230021634e-01
7.300000000000000711e+00,3.470966293456269058e-01,7.448339241455788351e-02,1.236397711327995030e-01
7.400000000000000355e+00,3.475393783755847954e-01,7.462138892154354664e-02,1.239003390552263079e-01
7.500000000000000000e+00,3.487208588194331549e-01,7.472197275981368181e-02,1.242232379530489317e-01
7.600000000000000533e+00,3.488776150502486684e-01,7.467478277476120863e-02,1.241243702129199017e-01
7.700000000000000178e+00,3.494979516490849814e-01,7.455867801573086429e-02,1.241747083646943389e-01
7.800000000000000711e+00,3.499685798976904239e-01,7.435542601467276524e-02,1.240029796291726577e-01
7.900000000000000355e+00,3.501634905715606538e-01,7.393411967437085730e-02,1.234326661081493887e-01
8.000000000000000000e+00,3.496111262285494514e-01,7.379471769336853892e-02,1.230712882458722818e-01
8.099999999999999645e+00,3.513046120455409205e-01,7.433421790078775793e-02,1.236683370301468743e-01
8.200000000000001066e+00,3.524271877853802915e-01,7.495378111307776647e-02,1.243757023293190073e-01
8.300000000000000711e+00,3.533557224518256157e-01,7.518672449679084102e-02,1.247700474049897867e-01
8.400000000000000355e+00,3.541051178772217645e-01,7.498310037986329057e-02,1.248813074912257237e-01
8.500000000000000000e+00,3.537748803987024182e-01,7.498786740897143976e-02,1.247318074170852692e-01
8.599999999999999645e+00,3.537669168118623420e-01,7.468396386655078156e-02,1.244552337391092861e-01
8.700000000000001066e+00,3.538879163935175209e-01,7.472034066395638607e-02,1.244903067249345380e-01
8.800000000000000711e+00,3.549547686297511162e-01,7.490715746739359804e-02,1.247468475222092282e-01
8.900000000000000355e+00,3.551277068283565930e-01,7.463925662410994533e-02,1.245077975952489091e-01
9.000000000000000000e+00,3.552663821450059989e-01,7.426734486628593090e-02,1.240290400151339845e-01
9.099999999999999645e+00,3.561749405360900567e-01,7.433313670754822244e-02,1.239579636775493404e-01
9.200000000000001066e+00,3.566350807961721214e-01,7.469951312752477757e-02,1.243759569691148120e-01
9.300000000000000711e+00,3.576997364933341417e-01,7.489132200508943904e-02,1.246462358504138168e-01
9.400000000000000355e+00,3.586002210873993068e-01,7.521423060795617843e-02,1.249815286990234864e-01
9.500000000000000000e+00,3.596726149455722887e-01,7.565755743109180143e-02,1.256418657484090484e-01
9.600000000000001421e+00,3.605103007990702602e-01,7.530573191798296817e-02,1.256111844560670043e-01
9.700000000000001066e+00,3.601293042340755757e-01,7.485176230155016208e-02,1.250835676603413715e-01
9.800000000000000711e+00,3.604931195734671356e-01,7.486719983581623106e-02,1.251435032976691564e-01
9.900000000000000355e+00,3.604095025952165909e-01,7.508127138506376363e-02,1.252963445628112460e-01
1.000000000000000000e+01,3.614773403045623557e-01,7.526158198883611816e-02,1.254696998747368564e-01
1.010000000000000142e+01,3.616131598430578631e-01,7.502916096302608695e-02,1.251188279518563040e-01
1.020000000000000107e+01,3.624336768706699075e-01,7.517607108175831943e-02,1.253043034563915692e-01
1.030000000000000071e+01,3.628619168143344398e-01,7.537720936068380284e-02,1.255023510761700267e-01
1.040000000000000036e+01,3.636718188866544521e-01,7.538129610880718590e-02,1.257069933956915242e-01
1.050000000000000000e+01,3.636486872111211466e-01,7.540208372686595106e-02,1.257533421513956362e-01
1.060000000000000142e+01,3.635148941162962832e-01,7.527122518312842625e-02,1.254993940971342314e-01
1.070000000000000107e+01,3.627785415067401598e-01,7.520422615436059277e-02,1.255483609822134750e-01
1.080000000000000071e+01,3.635018926403238981e-01,7.521923302993063776e-02,1.255841644429727955e-01
1.090000000000000036e+01,3.636967340237416413e-01,7.528976111792937131e-02,1.257131799165916441e-01
1.100000000000000000e+01,3.628070639334730063e-01,7.517955913211193941e-02,1.254383058298918774e-01
1.110000000000000142e+01,3.627165247215690669e-01,7.495917689284374574e-02,1.252323581799988372e-01
1.120000000000000107e+01,3.625551653814934605e-01,7.477628700885301238e-02,1.249632692226164549e-01
1.130000000000000071e+01,3.622983023169270012e-01,7.455132704938337296e-02,1.245759887643849984e-01
1.140000000000000036e+01,3.634816954135083322e-01,7.455662473866157824e-02,1.246108004959786686e-01
1.150000000000000000e+01,3.639774217077754725e-01,7.489267373664598715e-02,1.250587367580973941e-01
1.160000000000000142e+01,3.650452132332659416e-01,7.551038276294623486e-02,1.258726000919045684e-01
1.170000000000000107e+01,3.652867352310759097e-01,7.559706314477800115e-02,1.258801486449872276e-01
1.180000000000000071e+01,3.659116363304781849e-01,7.530228990741941186e-02,1.256655126565085490e-01
1.190000000000000036e+01,3.660244658525296790e-01,7.534423163350023600e-02,1.257533328606350032e-01
1.200000000000000000e+01,3.664910134763683103e-01,7.554485009767063219e-02,1.259625753917830993e-01
1.210000000000000142e+01,3.668876724928651911e-01,7.567482112688238283e-02,1.262809771526209046e-01
1.220000000000000107e+01,3.668999494105463777e-01,7.569794349716806037e-02,1.262232600698558471e-01
1.230000000000000071e+01,3.666713708915454450e-01,7.555936971882019904e-02,1.258006769428631211e-01
1.240000000000000036e+01,3.667131665609544844e-01,7.535499306828746802e-02,1.256456792156009916e-01
1.250000000000000000e+01,3.672119353190873015e-01,7.535850354577044996e-02,1.259456131621058683e-01
1.260000000000000142e+01,3.678717310218062031e-01,7.518803294754308753e-02,1.256106422621455776e-01
1.270000000000000107e+01,3.682465993997655618e-01,7.517980658713102615e-02,1.256277653141465722e-01
1.280000000000000071e+01,3.686086866097003645e-01,7.558296073790575498e-02,1.261563051752137010e-01
1.290000000000000036e+01,3.690041735661070965e-01,7.548514959593841112e-02,1.261339002579331681e-01
1.300000000000000000e+01,3.686975743877212719e-01,7.523920638021990015e-02,1.255994633754324019e-01
1.310000000000000142e+01,3.688839987666376885e-01,7.493145618880923953e-02,1.252255442984503420e-01
1.320000000000000107e+01,3.692832105951899813e-01,7.508591780069401311e-02,1.256567771359694552e-01
1.330000000000000071e+01,3.702913595333731656e-01,7.569446134895957412e-02,1.264034519837796688e-01
1.340000000000000036e+01,3.703689695660518089e-01,7.593811568543630541e-02,1.266258879309425933e-01
1.350000000000000000e+01,3.696463268645487910e-01,7.578447836988828901e-02,1.262169594534158223e-01
1.360000000000000142e+01,3.700560242943549683e-01,7.565301512536658224e-02,1.262374809693076472e-01
1.370000000000000107e+01,3.699067780546499429e-01,7.546025278445860074e-02,1.261699971036700507e-01
1.380000000000000071e+01,3.701447710329616725e-01,7.534756513438599368e-02,1.259268058611763830e-01
1.390000000000000036e+01,3.701049044346133576e-01,7.518453576117080372e-02,1.257127413299667928e-01
1.400000000000000000e+01,3.699254657760224219e-01,7.506771535287720676e-02,1.255256143534453916e-01
1.410000000000000142e+01,3.699785988403209713e-01,7.473896231238888466e-02,1.251899793470276356e-01
1.420000000000000107e+01,3.703062052066465326e-01,7.503388372128760864e-02,1.254554727299576344e-01
1.430000000000000071e+01,3.716783250343330125e-01,7.572862252141734918e-02,1.264408422613383653e-01
1.440000000000000036e+01,3.721330940249656938e-01,7.608608625115569069e-02,1.269941896337970499e-01
1.450000000000000000e+01,3.726297800580297692e-01,7.619927553858764357e-02,1.269878565270647075e-01
1.460000000000000142e+01,3.728689458945781410e-01,7.602062879665276440e-02,1.268430767688432936e-01
1.470000000000000107e+01,3.733452802740351295e-01,7.599437850749037049e-02,1.268611756883107622e-01
1.480000000000000071e+01,3.730239321692064292e-01,7.584922174385486104e-02,1.268159122658288895e-01
1.490000000000000036e+01,3.731679172662173416e-01,7.548745582797257436e-02,1.265474298495582739e-01
1.500000000000000000e+01,3.736172923359717957e-01,7.553256283067806554e-02,1.263827039948363096e-01
1.510000000000000142e+01,3.740909071365536298e-01,7.560227808223074497e-02,1.266846928276160189e-01
1.520000000000000107e+01,3.744403460147235907e-01,7.582814866645476437e-02,1.270079982198941138e-01
1.530000000000000071e+01,3.746735168433006358e-01,7.583919344146315689e-02,1.273170215022643714e-01
1.540000000000000036e+01,3.757749286073422956e-01,7.574523691245983736e-02,1.271597894481067692e-01
1.550000000000000000e+01,3.754940828442444034e-01,7.551681942838443795e-02,1.266716952334815682e-01
1.560000000000000142e+01,3.751715931977965268e-01,7.577434444161371130e-02,1.268133850233023885e-01
1.570000000000000107e+01,3.754849485143942900e-01,7.633004767463681672e-02,1.273262490331782681e-01
1.580000000000000071e+01,3.761493144990923909e-01,7.639254795808278486e-02,1.275330539594031476e-01
1.590000000000000036e+01,3.767420795080227980e-01,7.633824488552654053e-02,1.276788390912635129e-01
1.600000000000000000e+01,3.774068960785146865e-01,7.658611243842240734e-02,1.280858526792538754e-01
1.610000000000000142e+01,3.773545421679905254e-01,7.642721932897017512e-02,1.277635812572084639e-01
1.619999999999999929e+01,3.763373932408756173e-01,7.598237052279428749e-02,1.270698934001960045e-01
1.630000000000000071e+01,3.767911580049593812e-01,7.573476664988065821e-02,1.269880312542340794e-01
1.640000000000000213e+01,3.763186333479542345e-01,7.562275896343496895e-02,1.268966196219975529e-01
1.650000000000000000e+01,3.767102275132251932e-01,7.565121742445458930e-02,1.268810777457797800e-01
1.660000000000000142e+01,3.761095156970954978e-01,7.544395844299350840e-02,1.266265526420018439e-01
1.669999999999999929e+01,3.764395179418235093e-01,7.546992531301031926e-02,1.263663727746947019e-01
1.680000000000000071e+01,3.767902797464273701e-01,7.591603465121390948e-02,1.271249954657449610e-01
1.690000000000000213e+01,3.777602063032313162e-01,7.650861087814027350e-02,1.277122432174114808e-01
1.700000000000000000e+01,3.777952909791586489e-01,7.686228187811022794e-02,1.283818829124578342e-01
1.710000000000000142e+01,3.779940748290261943e-01,7.666922371989708107e-02,1.284143817193211801e-01
1.719999999999999929e+01,3.784233949155677568e-01,7.644043535351233154e-02,1.281691435096868337e-01
1.730000000000000071e+01,3.782582553013407178e-01,7.633613556888088625e-02,1.279746757991095940e-01
1.740000000000000213e+01,3.776013966491811868e-01,7.597257349355489298e-02,1.273103102438708778e-01
1.750000000000000000e+01,3.768608083794300345e-01,7.537484365289821853e-02,1.266832455530434443e-01
1.760000000000000142e+01,3.759979591799121335e-01,7.518748765533848910e-02,1.262457178747691811e-01
1.769999999999999929e+01,3.761409738545206105e-01,7.551830933463082873e-02,1.267060906225023764e-01
1.780000000000000071e+01,3.780468754627729355e-01,7.635869479222974487e-02,1.278054091711327556e-01
1.790000000000000213e+01,3.785007540417568705e-01,7.664961748507105599e-02,1.284148682413900622e-01
1.800000000000000000e+01,3.781508238840472491e-01,7.640729153301678567e-02,1.279614275458686445e-01
1.810000000000000142e+01,3.778017098721763722e-01,7.608199236377193031e-02,1.272616830353804629e-01
1.819999999999999929e+01,3.779083325190765730e-01,7.620998519295851814e-02,1.274313324892711041e-01
