T_K,interval,time_ps,motif,count
500,late,195.0999999999,P3S10,1
500,late,195.0999999999,P2S7,5
500,late,195.0999999999,P0S1,7
700,early,0.1,P1S4,51
700,early,0.1,P2S7,5
700,early,0.1,P3S10,1
700,early,0.1,P0S1,7
700,early,5.1,P1S4,51
700,early,5.1,P2S7,5
700,early,5.1,P3S10,1
700,early,5.1,P0S1,7
700,early,10.1,P1S4,51
700,early,10.1,P2S7,5
700,early,10.1,P3S10,1
700,early,10.1,P0S1,7
700,early,15.1,P1S4,51
700,early,15.1,P2S7,5
700,early,15.1,P3S10,1
700,early,15.1,P0S1,7
700,early,20.100000000010002,P1S4,51
700,early,20.100000000010002,P2S7,5
700,early,20.100000000010002,P3S10,1
700,early,20.100000000010002,P0S1,7
700,early,25.100000000020003,P1S4,51
700,early,25.100000000020003,P2S7,5
700,early,25.100000000020003,P3S10,1
700,early,25.100000000020003,P0S1,7
700,early,30.10000000003,P1S4,51
700,early,30.10000000003,P2S7,5
700,early,30.10000000003,P3S10,1
700,early,30.10000000003,P0S1,7
700,early,35.10000000003,P1S4,51
700,early,35.10000000003,P2S7,5
700,early,35.10000000003,P3S10,1
700,early,35.10000000003,P0S1,7
700,early,40.100000000040005,P1S4,51
700,early,40.100000000040005,P2S7,5
700,early,40.100000000040005,P3S10,1
700,early,40.100000000040005,P0S1,7
700,early,45.10000000002,P1S4,51
700,early,45.10000000002,P2S7,5
700,early,45.10000000002,P3S10,1
700,early,45.10000000002,P0S1,7
700,late,150.09999999919998,P3S10,1
700,late,150.09999999919998,P1S4,53
700,late,150.09999999919998,P2S7,4
700,late,150.09999999919998,P0S1,6
700,late,155.09999999916002,P3S10,1
700,late,155.09999999916002,P1S4,54
700,late,155.09999999916002,P2S7,3
700,late,155.09999999916002,P1S3,1
700,late,155.09999999916002,P0S1,6
700,late,160.09999999912,P3S10,1
700,late,160.09999999912,P1S4,54
700,late,160.09999999912,P2S7,3
700,late,160.09999999912,P1S3,1
700,late,160.09999999912,P0S1,6
700,late,165.09999999908,P3S10,1
700,late,165.09999999908,P1S4,53
700,late,165.09999999908,P2S7,4
700,late,165.09999999908,P0S1,6
700,late,170.09999999917,P3S10,1
700,late,170.09999999917,P1S4,53
700,late,170.09999999917,P2S7,4
700,late,170.09999999917,P0S1,6
700,late,175.09999999931,P3S10,1
700,late,175.09999999931,P1S4,53
700,late,175.09999999931,P2S7,4
700,late,175.09999999931,P0S1,6
700,late,180.09999999946,P3S10,1
700,late,180.09999999946,P1S4,53
700,late,180.09999999946,P2S7,4
700,late,180.09999999946,P0S1,6
700,late,185.09999999961002,P3S10,1
700,late,185.09999999961002,P1S4,53
700,late,185.09999999961002,P2S7,4
700,late,185.09999999961002,P0S1,6
700,late,190.09999999975,P3S10,1
700,late,190.09999999975,P1S4,53
700,late,190.09999999975,P2S7,4
700,late,190.09999999975,P0S1,6
700,late,195.0999999999,P3S10,1
700,late,195.0999999999,P1S4,53
700,late,195.0999999999,P2S7,4
700,late,195.0999999999,P0S1,6
900,early,0.1,P1S4,50
900,early,0.1,P2S7,7
900,early,0.1,P0S1,7
900,early,5.1,P1S4,50
900,early,5.1,P2S7,7
900,early,5.1,P0S1,7
900,early,10.1,P1S4,53
900,early,10.1,P2S7,4
900,early,10.1,P1S3,3
900,early,10.1,P0S1,7
900,early,15.1,P1S4,51
900,early,15.1,P2S7,6
900,early,15.1,P1S3,1
900,early,15.1,P0S1,7
900,early,20.100000000010002,P1S4,50
900,early,20.100000000010002,P2S7,7
900,early,20.100000000010002,P0S1,7
900,early,25.100000000020003,P1S4,50
900,early,25.100000000020003,P2S7,7
900,early,25.100000000020003,P0S1,7
900,early,30.10000000003,P1S4,50
900,early,30.10000000003,P2S7,7
900,early,30.10000000003,P0S1,7
900,early,35.10000000003,P1S4,50
900,early,35.10000000003,P2S7,7
900,early,35.10000000003,P0S1,7
900,early,40.100000000040005,P1S4,50
900,early,40.100000000040005,P2S7,7
900,early,40.100000000040005,P0S1,7
900,early,45.10000000002,P1S4,50
900,early,45.10000000002,P2S7,7
900,early,45.10000000002,P0S1,7
900,late,150.09999999919998,P1S4,51
900,late,150.09999999919998,P2S7,4
900,late,150.09999999919998,P3S10,1
900,late,150.09999999919998,P2S6,1
900,late,150.09999999919998,P0S1,8
900,late,155.09999999916002,P1S4,51
900,late,155.09999999916002,P2S7,5
900,late,155.09999999916002,P1S3,1
900,late,155.09999999916002,P2S6,1
900,late,155.09999999916002,P0S1,8
900,late,160.09999999912,P1S4,51
900,late,160.09999999912,P2S7,4
900,late,160.09999999912,P3S10,1
900,late,160.09999999912,P2S6,1
900,late,160.09999999912,P0S1,8
900,late,165.09999999908,P1S4,52
900,late,165.09999999908,P2S7,4
900,late,165.09999999908,P2S6,2
900,late,165.09999999908,P0S1,8
900,late,170.09999999917,P1S4,51
900,late,170.09999999917,P1S3,3
900,late,170.09999999917,P2S7,4
900,late,170.09999999917,P2S6,1
900,late,170.09999999917,P0S1,9
900,late,175.09999999931,P1S4,52
900,late,175.09999999931,P2S6,3
900,late,175.09999999931,P2S7,3
900,late,175.09999999931,P0S1,9
900,late,180.09999999946,P1S4,53
900,late,180.09999999946,P2S7,2
900,late,180.09999999946,P2S6,2
900,late,180.09999999946,P1S3,3
900,late,180.09999999946,P0S1,9
900,late,185.09999999961002,P1S4,53
900,late,185.09999999961002,P2S7,2
900,late,185.09999999961002,P2S6,1
900,late,185.09999999961002,P3S10,1
900,late,185.09999999961002,P1S3,1
900,late,185.09999999961002,P1S2,1
900,late,185.09999999961002,P0S1,9
900,late,190.09999999975,P1S4,51
900,late,190.09999999975,P2S7,4
900,late,190.09999999975,P2S6,2
900,late,190.09999999975,P1S3,1
900,late,190.09999999975,P0S1,9
900,late,195.0999999999,P1S4,50
900,late,195.0999999999,P2S7,6
900,late,195.0999999999,P1S3,2
900,late,195.0999999999,P0S1,8
