T_K,D_app_20to80_cm2_s,sigma_NE_app_mS_cm,R2,alpha,block_SD_5to20_cm2_s,rho_g_cm3
3.000000000000000000e+02,7.143145741147939887e-09,9.893442242890199134e-01,9.345216858164346885e-01,4.895191096251397256e-02,1.491565821775808835e-08,2.227016634361870473e+00
5.000000000000000000e+02,7.089968507454560326e-07,5.686264529717181659e+01,9.996778340666377938e-01,6.599233782611662047e-01,8.012514357980981555e-08,2.149300067664213110e+00
7.000000000000000000e+02,8.079431076360654517e-06,4.504020083942842803e+02,9.998888783135652103e-01,9.251236503171981207e-01,9.077550459972640830e-07,2.091519281117442564e+00
9.000000000000000000e+02,3.615196180272821347e-05,1.490392845348371566e+03,9.998293651543004312e-01,9.642932386128965083e-01,3.678089583019093815e-06,1.988637806402341335e+00
