# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
    129.000000       0.229233       0.181154       0.391231
    130.000000       0.230265       0.180974       0.392291
    131.000000       0.231109       0.181641       0.393142
    132.000000       0.230925       0.182491       0.393547
    133.000000       0.231212       0.181800       0.394513
    134.000000       0.231706       0.182438       0.395763
    135.000000       0.231659       0.182371       0.396023
    136.000000       0.231594       0.182576       0.397331
    137.000000       0.232248       0.182745       0.398197
    138.000000       0.232620       0.183432       0.400183
    139.000000       0.233532       0.183712       0.401364
    140.000000       0.233424       0.183510       0.402525
    141.000000       0.233475       0.184533       0.403359
    142.000000       0.233876       0.183772       0.404855
    143.000000       0.233672       0.184687       0.406294
    144.000000       0.235098       0.185040       0.406955
    145.000000       0.235379       0.185706       0.409169
    146.000000       0.235723       0.185434       0.409739
    147.000000       0.236058       0.185922       0.410767
    148.000000       0.236697       0.186194       0.412028
    149.000000       0.236269       0.186523       0.413125
    150.000000       0.237246       0.186808       0.414824
    151.000000       0.237585       0.187113       0.414508
    152.000000       0.237888       0.186854       0.416346
    153.000000       0.238655       0.187765       0.416631
    154.000000       0.239135       0.188308       0.418124
    155.000000       0.238991       0.188375       0.418230
    156.000000       0.239483       0.188463       0.419206
    157.000000       0.240339       0.188814       0.420135
    158.000000       0.240938       0.189243       0.420666
    159.000000       0.240965       0.189577       0.421509
    160.000000       0.241817       0.189833       0.423129
    161.000000       0.241564       0.190128       0.423662
    162.000000       0.242095       0.191236       0.425306
    163.000000       0.242007       0.191367       0.426632
    164.000000       0.242379       0.191546       0.427863
    165.000000       0.243125       0.192189       0.429050
    166.000000       0.243599       0.192475       0.429906
    167.000000       0.243972       0.193051       0.430773
    168.000000       0.243830       0.193776       0.432854
    169.000000       0.244399       0.194875       0.433638
    170.000000       0.244922       0.195199       0.435523
    171.000000       0.245766       0.195209       0.436611
    172.000000       0.246597       0.195719       0.437923
    173.000000       0.246517       0.195718       0.439138
    174.000000       0.246692       0.196455       0.440486
    175.000000       0.246534       0.196640       0.441331
    176.000000       0.247528       0.196247       0.442665
    177.000000       0.247656       0.197499       0.442652
    178.000000       0.248268       0.198129       0.443780
    179.000000       0.248603       0.198430       0.445516
    180.000000       0.249814       0.198243       0.447359
    181.000000       0.249167       0.198568       0.448056
    182.000000       0.249380       0.199678       0.450290
    183.000000       0.250492       0.199620       0.451484
    184.000000       0.250041       0.200515       0.452543
    185.000000       0.250859       0.200617       0.453444
    186.000000       0.250804       0.201459       0.455067
    187.000000       0.251107       0.201329       0.456355
    188.000000       0.251815       0.201998       0.457632
    189.000000       0.252265       0.202319       0.458311
    190.000000       0.253233       0.203153       0.460322
    191.000000       0.252733       0.203843       0.460062
    192.000000       0.253187       0.204015       0.461426
    193.000000       0.253693       0.205211       0.463631
    194.000000       0.254229       0.205078       0.464103
    195.000000       0.254338       0.205180       0.465754
    196.000000       0.255501       0.205367       0.466933
    197.000000       0.255300       0.205579       0.468359
    198.000000       0.255784       0.206268       0.470392
    199.000000       0.255998       0.206598       0.470625
    200.000000       0.256432       0.207344       0.472437
    201.000000       0.256903       0.207172       0.472907
    202.000000       0.256316       0.207590       0.474716
    203.000000       0.256969       0.207408       0.475612
    204.000000       0.257510       0.208052       0.477010
    205.000000       0.257939       0.208676       0.478643
    206.000000       0.257619       0.209211       0.478973
    207.000000       0.257998       0.209441       0.479825
    208.000000       0.258486       0.209973       0.481278
    209.000000       0.258705       0.210674       0.481784
    210.000000       0.258154       0.210260       0.482924
    211.000000       0.259138       0.211445       0.484083
    212.000000       0.259243       0.211197       0.485524
    213.000000       0.259735       0.211746       0.487014
    214.000000       0.259754       0.211982       0.487185
    215.000000       0.260427       0.212526       0.488723
    216.000000       0.261171       0.212398       0.490304
    217.000000       0.260304       0.213344       0.490784
    218.000000       0.261485       0.213784       0.491271
    219.000000       0.261551       0.214591       0.492362
    220.000000       0.262648       0.214111       0.493879
    221.000000       0.263424       0.214819       0.493917
    222.000000       0.263558       0.215152       0.495184
    223.000000       0.264065       0.216399       0.496154
    224.000000       0.264189       0.216541       0.497092
    225.000000       0.264085       0.216914       0.497660
    226.000000       0.264254       0.217473       0.498630
    227.000000       0.264410       0.217430       0.499126
    228.000000       0.264472       0.217768       0.501196
    229.000000       0.264905       0.217742       0.502630
    230.000000       0.265364       0.218629       0.503174
    231.000000       0.265585       0.218939       0.504861
    232.000000       0.265238       0.218661       0.506030
    233.000000       0.265211       0.219748       0.507614
    234.000000       0.265411       0.219648       0.508278
    235.000000       0.266473       0.220030       0.510544
    236.000000       0.266772       0.220545       0.511118
    237.000000       0.267082       0.221037       0.512207
    238.000000       0.267373       0.221422       0.512260
    239.000000       0.267814       0.222645       0.514208
    240.000000       0.268271       0.223254       0.514497
    241.000000       0.268409       0.223964       0.515810
    242.000000       0.269217       0.224090       0.517326
    243.000000       0.269228       0.224702       0.519348
    244.000000       0.269149       0.224798       0.519044
    245.000000       0.269797       0.225228       0.520537
    246.000000       0.270271       0.225824       0.521280
    247.000000       0.269975       0.225342       0.521396
    248.000000       0.270522       0.226296       0.523469
    249.000000       0.270243       0.226307       0.524076
    250.000000       0.271026       0.226200       0.524944
    251.000000       0.271253       0.227753       0.526249
    252.000000       0.272050       0.228295       0.528335
    253.000000       0.272149       0.228518       0.528781
    254.000000       0.271638       0.228732       0.530597
    255.000000       0.272270       0.229377       0.531004
    256.000000       0.272593       0.230112       0.531444
    257.000000       0.272509       0.230268       0.533104
    258.000000       0.272498       0.230374       0.534155
    259.000000       0.273132       0.230472       0.535018
    260.000000       0.274013       0.230933       0.536242
    261.000000       0.273767       0.231929       0.536649
    262.000000       0.274304       0.232055       0.538431
    263.000000       0.275066       0.231917       0.538514
    264.000000       0.275285       0.232878       0.539756
    265.000000       0.275293       0.233510       0.540368
    266.000000       0.275783       0.234572       0.541809
    267.000000       0.276233       0.234552       0.541958
    268.000000       0.276337       0.235621       0.543051
    269.000000       0.277037       0.236035       0.544000
    270.000000       0.277286       0.236092       0.544764
    271.000000       0.277797       0.236535       0.546406
    272.000000       0.277932       0.237823       0.546905
    273.000000       0.278723       0.237002       0.548186
    274.000000       0.278101       0.238107       0.548382
    275.000000       0.278860       0.238633       0.550105
    276.000000       0.279263       0.238486       0.550340
    277.000000       0.278871       0.239406       0.552496
    278.000000       0.279936       0.239767       0.553566
    279.000000       0.279950       0.240621       0.554875
    280.000000       0.280545       0.240869       0.555774
    281.000000       0.281418       0.241426       0.557211
    282.000000       0.281597       0.242164       0.558062
    283.000000       0.282026       0.242470       0.559251
    284.000000       0.281712       0.243166       0.560715
    285.000000       0.281887       0.243574       0.560514
    286.000000       0.281703       0.243981       0.561882
    287.000000       0.282704       0.244310       0.562131
    288.000000       0.282806       0.245161       0.563600
    289.000000       0.283084       0.245899       0.564041
    290.000000       0.283284       0.246948       0.565567
    291.000000       0.283305       0.247253       0.566463
    292.000000       0.283224       0.247780       0.567336
    293.000000       0.284216       0.247542       0.568305
    294.000000       0.284255       0.248343       0.569322
    295.000000       0.284596       0.249054       0.570727
    296.000000       0.285193       0.249565       0.572450
    297.000000       0.285538       0.250132       0.573158
    298.000000       0.285866       0.250761       0.575172
    299.000000       0.286355       0.251303       0.575782
    300.000000       0.286821       0.251914       0.577476
    301.000000       0.287190       0.252422       0.579028
    302.000000       0.288168       0.252368       0.579428
    303.000000       0.287752       0.253266       0.580037
    304.000000       0.287966       0.253031       0.581802
    305.000000       0.288944       0.253081       0.583768
    306.000000       0.288698       0.253703       0.585088
    307.000000       0.289769       0.254086       0.585811
    308.000000       0.289285       0.254503       0.587347
    309.000000       0.288514       0.255335       0.589425
    310.000000       0.288984       0.255195       0.589637
    311.000000       0.289365       0.255342       0.590880
    312.000000       0.289538       0.255809       0.592123
    313.000000       0.290116       0.257275       0.592685
    314.000000       0.289736       0.257455       0.594162
    315.000000       0.290621       0.257579       0.594176
    316.000000       0.291112       0.257657       0.595651
    317.000000       0.290477       0.258553       0.597090
    318.000000       0.291065       0.259637       0.597624
    319.000000       0.290606       0.260694       0.598516
    320.000000       0.290935       0.260745       0.599669
    321.000000       0.291383       0.261671       0.600508
    322.000000       0.290678       0.261934       0.601465
    323.000000       0.290640       0.262607       0.602788
    324.000000       0.291619       0.263100       0.603561
    325.000000       0.290682       0.263095       0.604523
    326.000000       0.290725       0.264237       0.604817
    327.000000       0.290090       0.264427       0.606077
    328.000000       0.290602       0.265352       0.607170
    329.000000       0.290677       0.264603       0.608635
    330.000000       0.290763       0.266176       0.608037
    331.000000       0.291237       0.266144       0.608155
    332.000000       0.290740       0.267191       0.608843
    333.000000       0.291072       0.267773       0.609383
    334.000000       0.290625       0.268264       0.610137
    335.000000       0.291227       0.267961       0.611058
    336.000000       0.291601       0.268948       0.611720
    337.000000       0.291721       0.270135       0.611774
    338.000000       0.291563       0.271205       0.613640
    339.000000       0.293002       0.271564       0.614482
    340.000000       0.293545       0.271879       0.615917
