T_K,D_cm2_s,sigma_mS_cm,R2,alpha,rho_g_cm3,volume_A3
3.200000000000000000e+02,1.408476755375042953e-07,3.183352619247703519e+00,9.908224836216924514e-01,3.030466290522226824e-01,1.860274610651651450e+00,8.226260172644024351e+03
3.300000000000000000e+02,4.003476648080340198e-07,8.854505919442045681e+00,9.964609401717597903e-01,5.722683240617902900e-01,1.877297014001538367e+00,8.151668502985222403e+03
3.400000000000000000e+02,2.661089466025111387e-07,5.560634111186609552e+00,9.990403804184138092e-01,4.470771294851182964e-01,1.827409074853062254e+00,8.374207587326902285e+03
3.500000000000000000e+02,1.043429512728301768e-07,2.215209405209808580e+00,9.921156734376180841e-01,2.603201864105143537e-01,1.911224619805252489e+00,8.006962018595116206e+03
