inverse_T_1000_K,T_from_rounded_x_K,ln_sigmaT_S_cm_K,reported_y_error,sigma_mS_cm
3.125,320.0,-0.045,0.18,2.987492130728437
3.03,330.03300330033005,0.299,0.2,4.085984159122919
2.941,340.02040122407345,0.812,0.14,6.624332814607116
2.857,350.0175008750437,1.06,0.12,8.246361916338557
3.333,300.03000300030004,-0.661,0.02,1.7209436934086824
