time_ps,MSD_A2
0.99,1.21709
1.98,1.44353
2.97,1.54649
3.96,1.62424
4.95,1.70153
5.94,1.77402
6.93,1.83182
7.92,1.87569
8.91,1.9348
9.9,1.99838
10.89,2.0419
11.88,2.0847
12.87,2.14473
13.86,2.18531
14.85,2.24146
15.84,2.2863
16.83,2.33137
17.82,2.37504
18.81,2.41943
19.8,2.46355
20.79,2.49957
21.78,2.5424
22.77,2.57591
23.76,2.61261
24.75,2.64268
25.74,2.66688
26.73,2.71444
27.72,2.75237
28.71,2.78379
29.7,2.82218
30.69,2.85174
31.68,2.88635
32.67,2.92012
33.66,2.94761
34.65,2.97652
35.64,3.01447
36.63,3.03384
37.62,3.05823
38.61,3.07688
39.6,3.10084
40.59,3.1354
41.58,3.15369
42.57,3.18542
43.56,3.20357
44.55,3.23913
45.54,3.25923
46.53,3.29035
47.52,3.30324
48.51,3.3275
49.5,3.34649
50.49,3.37993
51.48,3.41087
52.47,3.42655
53.46,3.44998
54.45,3.47919
55.44,3.51475
56.43,3.53651
57.42,3.54762
58.41,3.57303
59.4,3.60341
60.39,3.62436
61.38,3.65152
62.37,3.68181
63.36,3.70344
64.35,3.72421
65.34,3.73055
66.33,3.75333
67.32,3.76896
68.31,3.7923
69.3,3.81939
70.29,3.84275
71.28,3.86511
72.27,3.88274
73.26,3.8952
74.25,3.92897
75.24,3.94504
76.23,3.96899
77.22,3.97928
78.21,4.00154
79.2,4.02196
80.19,4.02876
81.18,4.05679
82.17,4.08329
83.16,4.1049
84.15,4.13286
85.14,4.15657
86.13,4.17452
87.12,4.19343
88.11,4.21299
89.1,4.22324
90.09,4.25299
91.08,4.26381
92.07,4.29209
93.06,4.31845
94.05,4.33705
95.04,4.35421
96.03,4.38208
97.02,4.41001
98.01,4.42812
99,4.44636
99.99,4.4641
100.98,4.47483
101.97,4.48716
102.96,4.52805
103.95,4.55674
104.94,4.57668
105.93,4.58591
106.92,4.6038
107.91,4.62576
108.9,4.64727
109.89,4.65229
110.88,4.66898
111.87,4.69815
112.86,4.71803
113.85,4.74912
114.84,4.76248
115.83,4.78471
116.82,4.80143
117.81,4.82077
118.8,4.83706
119.79,4.85856
120.78,4.87735
121.77,4.90367
122.76,4.92101
123.75,4.95
124.74,4.96795
125.73,4.98583
126.72,5.01151
127.71,5.03761
128.7,5.04838
129.69,5.09423
130.68,5.09815
131.67,5.12769
132.66,5.15031
133.65,5.16258
134.64,5.18718
135.63,5.2189
136.62,5.23078
137.61,5.2414
138.6,5.26969
139.59,5.29679
140.58,5.30272
141.57,5.31327
142.56,5.33549
143.55,5.35155
144.54,5.36945
145.53,5.40238
146.52,5.42245
147.51,5.44677
148.5,5.45991
149.49,5.49379
150.48,5.50902
151.47,5.53276
152.46,5.54
153.45,5.5669
154.44,5.58689
155.43,5.60453
156.42,5.62977
157.41,5.66142
158.4,5.67205
159.39,5.68447
160.38,5.70281
161.37,5.72709
162.36,5.73651
163.35,5.74905
164.34,5.78232
165.33,5.80649
166.32,5.83111
167.31,5.84893
168.3,5.86267
169.29,5.86943
170.28,5.89063
171.27,5.91397
172.26,5.92494
173.25,5.95324
174.24,5.95893
175.23,5.98598
176.22,6.01463
177.21,6.0393
178.2,6.06428
179.19,6.07568
180.18,6.09876
181.17,6.12993
182.16,6.15339
183.15,6.18506
184.14,6.19668
185.13,6.20693
186.12,6.2202
187.11,6.23722
188.1,6.26361
189.09,6.2773
190.08,6.29256
191.07,6.30507
192.06,6.34386
193.05,6.37858
194.04,6.39828
195.03,6.41654
196.02,6.43934
197.01,6.46603
198,6.49911
198.99,6.52051
199.98,6.54958
200.97,6.57043
201.96,6.58338
202.95,6.60424
203.94,6.63843
204.93,6.67016
205.92,6.69372
206.91,6.72371
207.9,6.75763
208.89,6.78914
209.88,6.80786
210.87,6.82924
211.86,6.84635
212.85,6.864
213.84,6.89112
214.83,6.91561
215.82,6.93765
216.81,6.95433
217.8,6.97632
218.79,6.99975
219.78,7.04371
220.77,7.05573
221.76,7.09203
222.75,7.13369
223.74,7.16709
224.73,7.18444
225.72,7.19681
226.71,7.21966
227.7,7.26347
228.69,7.29017
229.68,7.31635
230.67,7.34736
231.66,7.37836
232.65,7.3886
233.64,7.41652
234.63,7.44359
235.62,7.47369
236.61,7.51264
237.6,7.54075
238.59,7.57267
239.58,7.59645
240.57,7.60543
241.56,7.62157
242.55,7.64708
243.54,7.6714
244.53,7.69089
245.52,7.70607
246.51,7.70162
247.5,7.7197
248.49,7.74395
249.48,7.73664
250.47,7.74962
251.46,7.75332
252.45,7.75169
253.44,7.78147
254.43,7.78313
255.42,7.78266
256.41,7.7898
257.4,7.79216
258.39,7.80133
259.38,7.82318
260.37,7.84604
261.36,7.84777
262.35,7.86159
263.34,7.85841
264.33,7.87054
265.32,7.87752
266.31,7.88377
267.3,7.91181
268.29,7.92068
269.28,7.91919
270.27,7.92853
271.26,7.94631
272.25,7.98513
273.24,7.9931
274.23,7.99143
275.22,8.01132
276.21,8.03673
277.2,8.05196
278.19,8.05567
279.18,8.0812
280.17,8.08477
281.16,8.1057
282.15,8.10698
283.14,8.11002
284.13,8.11
285.12,8.12551
286.11,8.13664
287.1,8.14958
288.09,8.15245
289.08,8.17379
290.07,8.1938
291.06,8.19495
292.05,8.20406
293.04,8.2351
294.03,8.24291
295.02,8.23532
296.01,8.24441
297,8.25158
297.99,8.27996
298.98,8.28342
299.97,8.29484
300.96,8.30331
