lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.429169808544920650e-01,4.245100540834952779e-02,1.195551075510957184e-01,4.301696703005503108e-02,8.829639793592575225e-02
2.000000000000000111e-01,3.290180145242930787e-01,9.416709792866580220e-02,2.343424332547913991e-01,8.192598867117188710e-02,1.429053023704428271e-01
3.000000000000000444e-01,3.769310366467930606e-01,1.368870728628363564e-01,3.146674580660712706e-01,1.206653520040015110e-01,1.924727550305079526e-01
4.000000000000000222e-01,4.231870690466493223e-01,1.788278557143169745e-01,3.797293349449497590e-01,1.490360594389696647e-01,2.271773359902309608e-01
5.000000000000000000e-01,4.569600470287971672e-01,2.084657851827271813e-01,4.228532487573985477e-01,1.716471216564830482e-01,2.545848672480233166e-01
6.000000000000000888e-01,4.843361824409154748e-01,2.328597249491967391e-01,4.583649642321087070e-01,1.888760706078937424e-01,2.758713047675451779e-01
7.000000000000000666e-01,5.068642561027761895e-01,2.515973275975617041e-01,4.846028094177689538e-01,2.027176858541042959e-01,2.933076602116090892e-01
8.000000000000000444e-01,5.238740173283318313e-01,2.635997464577373717e-01,5.016589495544020449e-01,2.123962195289930410e-01,3.050705716271584489e-01
9.000000000000000222e-01,5.348847009054030766e-01,2.705982120716525774e-01,5.127862554165563136e-01,2.190472905383755720e-01,3.126762456825639136e-01
1.000000000000000000e+00,5.457640807127552840e-01,2.745728176105814433e-01,5.196065536572352928e-01,2.233492775178104739e-01,3.185789075028199191e-01
1.100000000000000089e+00,5.527738030549008696e-01,2.760077036977721665e-01,5.229640091058077589e-01,2.253870128595557298e-01,3.215406386334381250e-01
1.200000000000000178e+00,5.599377563061229690e-01,2.752053215141104792e-01,5.228178866824877424e-01,2.250516722202865749e-01,3.222095957532602473e-01
1.300000000000000044e+00,5.642907641175023414e-01,2.726925737111124404e-01,5.206103054797467378e-01,2.232242475518034508e-01,3.206533320360197004e-01
1.400000000000000133e+00,5.677113686654440272e-01,2.687118339951412582e-01,5.168490475746891910e-01,2.203563991359512031e-01,3.181921935880276386e-01
1.500000000000000000e+00,5.721333432304269717e-01,2.643292282098436696e-01,5.120094232712540938e-01,2.168454753023304760e-01,3.149723046786609970e-01
1.600000000000000089e+00,5.737014139565567161e-01,2.603912716722317500e-01,5.089467792599707829e-01,2.139511491986519909e-01,3.123763967367965133e-01
1.700000000000000178e+00,5.765437127204905421e-01,2.570748092836400711e-01,5.068070974056257949e-01,2.113806795228605762e-01,3.101456615418790030e-01
1.800000000000000044e+00,5.786322622045700914e-01,2.546415571231555597e-01,5.051024081904402774e-01,2.096855729164211757e-01,3.091174683220810349e-01
1.900000000000000133e+00,5.800418463894955190e-01,2.528700542143711982e-01,5.032972776414103011e-01,2.085068692937710466e-01,3.080784221708411930e-01
2.000000000000000000e+00,5.817688055573707606e-01,2.515732642610066794e-01,5.024562320195937737e-01,2.075219710499547066e-01,3.076055056224630269e-01
2.100000000000000089e+00,5.833188308768005870e-01,2.506350253090799396e-01,5.022689573183811707e-01,2.067163308010163403e-01,3.072712946177120208e-01
2.200000000000000178e+00,5.858810569749594022e-01,2.498660022816132087e-01,5.025833249333373498e-01,2.061904437848256499e-01,3.071556370863982588e-01
2.300000000000000266e+00,5.876373984481143564e-01,2.492004335558039851e-01,5.034399049592240827e-01,2.060823063574433733e-01,3.071278480715949888e-01
2.400000000000000355e+00,5.883747782964829920e-01,2.491011076464883511e-01,5.045443481931716212e-01,2.059537864590849920e-01,3.072157342811832614e-01
2.500000000000000000e+00,5.903746924363857396e-01,2.495535855733110597e-01,5.065001987122423888e-01,2.060459123846097307e-01,3.076922544319594666e-01
2.600000000000000089e+00,5.946440477720366102e-01,2.502623712313632454e-01,5.091823122743920349e-01,2.063566978125234708e-01,3.087786272505183005e-01
2.700000000000000178e+00,5.996876065156407920e-01,2.510482293506476337e-01,5.116496646920842828e-01,2.070824895033672730e-01,3.100214277813768682e-01
2.800000000000000266e+00,6.044164555171240849e-01,2.521148044185627657e-01,5.145041432203093512e-01,2.082441902031881287e-01,3.116891671175004430e-01
2.900000000000000355e+00,6.086512285817430312e-01,2.534193346910568745e-01,5.172250289809698920e-01,2.097285532481626136e-01,3.138052603485187997e-01
3.000000000000000000e+00,6.128658152187452801e-01,2.547603557936496954e-01,5.198504809025953355e-01,2.110210079562426788e-01,3.154973362540860471e-01
3.100000000000000089e+00,6.163689891559592793e-01,2.562598684562276685e-01,5.222801399663483668e-01,2.124446213845160858e-01,3.176449273665226114e-01
3.200000000000000178e+00,6.212192602145562015e-01,2.579541346129083923e-01,5.245943272282044267e-01,2.140286790251465510e-01,3.198047733554381655e-01
3.300000000000000266e+00,6.250107449829404027e-01,2.596105132509959890e-01,5.270442938416368683e-01,2.157145854922250250e-01,3.219144267887959487e-01
3.400000000000000355e+00,6.299220510817556962e-01,2.609949351366452897e-01,5.294148921166930144e-01,2.177984456156378534e-01,3.245758820112830678e-01
3.500000000000000000e+00,6.347514805484000266e-01,2.621955115993678809e-01,5.320431741432724015e-01,2.193931801445305196e-01,3.264622309936771050e-01
3.600000000000000089e+00,6.396825785070432424e-01,2.630566087402538278e-01,5.346096213817292941e-01,2.209031060466248308e-01,3.282818735413820521e-01
3.700000000000000178e+00,6.439394567592210405e-01,2.640721284663996027e-01,5.369814579459017967e-01,2.216033786676778750e-01,3.294538835496429452e-01
3.800000000000000266e+00,6.484328453221093191e-01,2.651564692469385864e-01,5.391202300345455667e-01,2.224324203630956287e-01,3.306600573997253711e-01
3.900000000000000355e+00,6.506163716981097078e-01,2.658702193819718063e-01,5.405314119804933704e-01,2.232245291704683665e-01,3.319757660530490706e-01
4.000000000000000000e+00,6.524550675801916721e-01,2.665036001496345897e-01,5.414865964369669493e-01,2.239721874789102063e-01,3.333690762735094237e-01
4.100000000000000533e+00,6.562013353615974154e-01,2.671005651329316222e-01,5.426632475305501746e-01,2.247592287843334646e-01,3.343321128454873059e-01
4.200000000000000178e+00,6.596399842220965759e-01,2.677014730244209884e-01,5.444421110491969307e-01,2.252238277621322615e-01,3.348590806834291222e-01
4.299999999999999822e+00,6.616537748209637693e-01,2.681418952686175361e-01,5.459523781539816767e-01,2.253658795537042958e-01,3.347847055973467989e-01
4.400000000000000355e+00,6.649509579515600066e-01,2.684445978970255720e-01,5.470533100652863467e-01,2.254166408922761156e-01,3.347015608053152125e-01
4.500000000000000000e+00,6.676396228289480650e-01,2.686745810754663233e-01,5.481590847398614130e-01,2.252475381385599662e-01,3.346961367511973040e-01
4.600000000000000533e+00,6.688455011055677302e-01,2.688903470905084636e-01,5.494835450396237109e-01,2.252624198386315724e-01,3.351665515726756639e-01
4.700000000000000178e+00,6.716150884342712013e-01,2.693967861518700713e-01,5.506210385631153947e-01,2.262512196379755092e-01,3.364703910242352047e-01
4.800000000000000711e+00,6.758978862666407128e-01,2.708087658313618196e-01,5.527822515632813127e-01,2.274887118139300723e-01,3.382066607086761656e-01
4.900000000000000355e+00,6.798187249547016364e-01,2.726745795732803401e-01,5.555681689692617553e-01,2.295505742856029929e-01,3.404826386747800693e-01
