time_ps,MSD_A2
0.33,0.77962
0.66,1.07885
0.99,1.24592
1.32,1.34215
1.65,1.4054
1.98,1.44704
2.31,1.47931
2.64,1.50598
2.97,1.53126
3.3,1.55759
3.63,1.58635
3.96,1.61327
4.29,1.63801
4.62,1.66559
4.95,1.68972
5.28,1.71143
5.61,1.73354
5.94,1.75632
6.27,1.77105
6.6,1.7895
6.93,1.80336
7.26,1.81833
7.59,1.83352
7.92,1.85089
8.25,1.86999
8.58,1.89159
8.91,1.90673
9.24,1.92585
9.57,1.93895
9.9,1.95445
10.23,1.96541
10.56,1.97613
10.89,1.98561
11.22,1.99609
11.55,2.01227
11.88,2.02798
12.21,2.04606
12.54,2.05908
12.87,2.07324
13.2,2.09001
13.53,2.09725
13.86,2.11115
14.19,2.12922
14.52,2.1424
14.85,2.15352
15.18,2.16853
15.51,2.17462
15.84,2.18641
16.17,2.19547
16.5,2.21175
16.83,2.22564
17.16,2.23928
17.49,2.2508
17.82,2.26052
18.15,2.27133
18.48,2.28166
18.81,2.292
19.14,2.29959
19.47,2.30904
19.8,2.32052
20.13,2.33144
20.46,2.34521
20.79,2.35602
21.12,2.36651
21.45,2.37805
21.78,2.38634
22.11,2.39365
22.44,2.40389
22.77,2.41124
23.1,2.42288
23.43,2.43617
23.76,2.45001
24.09,2.46291
24.42,2.47773
24.75,2.48759
25.08,2.49859
25.41,2.50445
25.74,2.51353
26.07,2.52213
26.4,2.53506
26.73,2.54567
27.06,2.56196
27.39,2.56919
27.72,2.57808
28.05,2.58173
28.38,2.59149
28.71,2.59693
29.04,2.60643
29.37,2.61548
29.7,2.62102
30.03,2.62641
30.36,2.63694
30.69,2.64615
31.02,2.65278
31.35,2.66142
31.68,2.67078
32.01,2.67291
32.34,2.68223
32.67,2.69398
33,2.70187
33.33,2.71584
33.66,2.72628
33.99,2.73045
34.32,2.73571
34.65,2.74684
34.98,2.75723
35.31,2.7721
35.64,2.77915
35.97,2.78499
36.3,2.79469
36.63,2.80381
36.96,2.81293
37.29,2.82312
37.62,2.83362
37.95,2.83907
38.28,2.84459
38.61,2.85626
38.94,2.8708
39.27,2.87884
39.6,2.88367
39.93,2.89261
40.26,2.90141
40.59,2.90848
40.92,2.91364
41.25,2.92317
41.58,2.92768
41.91,2.9334
42.24,2.9406
42.57,2.95336
42.9,2.95792
43.23,2.96718
43.56,2.96872
43.89,2.97632
44.22,2.984
44.55,2.99273
44.88,3.00568
45.21,3.01798
45.54,3.02821
45.87,3.03691
46.2,3.04707
46.53,3.05417
46.86,3.05886
47.19,3.06483
47.52,3.0727
47.85,3.07749
48.18,3.0827
48.51,3.08893
48.84,3.09339
49.17,3.09738
49.5,3.09688
49.83,3.10295
50.16,3.11099
50.49,3.1223
50.82,3.13014
51.15,3.13784
51.48,3.14217
51.81,3.1457
52.14,3.15159
52.47,3.15634
52.8,3.16364
53.13,3.17043
53.46,3.17849
53.79,3.18197
54.12,3.18708
54.45,3.19678
54.78,3.20236
55.11,3.20051
55.44,3.20622
55.77,3.21145
56.1,3.21457
56.43,3.22241
56.76,3.2295
57.09,3.23255
57.42,3.23515
57.75,3.2404
58.08,3.24427
58.41,3.25414
58.74,3.26189
59.07,3.2654
59.4,3.26432
59.73,3.26772
60.06,3.27427
60.39,3.282
60.72,3.28437
61.05,3.28698
61.38,3.29567
61.71,3.30684
62.04,3.31343
62.37,3.32158
62.7,3.32382
63.03,3.32904
63.36,3.32605
63.69,3.32339
64.02,3.32491
