time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
5.000000000000000278e-02,7.090528763400000116e+02,1.595781711170000117e-01,-4.803957493750000474e+00,1.785880714930025315e+00
1.000000000000000056e-01,6.769559423800000104e+02,-1.812653846666660183e-03,-4.801323775833333585e+00,1.784492593382036363e+00
1.500000000000000222e-01,7.244182303400000364e+02,-3.387561323233332922e-01,-4.810641993593749888e+00,1.789604683440095823e+00
2.000000000000000111e-01,6.150376075200000514e+02,3.052977030406667236e-02,-4.804291880625000566e+00,1.805340548327850625e+00
2.500000000000000000e-01,6.163859486500000457e+02,7.866165628066668081e-02,-4.808504091249999668e+00,1.821634756574723291e+00
3.000000000000000444e-01,6.533134344100000135e+02,1.859215243129333228e-01,-4.812237452083333089e+00,1.835164274393475292e+00
3.500000000000000333e-01,7.620245199400000047e+02,-2.366365642346666409e-01,-4.822647345000000030e+00,1.846795467983380012e+00
4.000000000000000222e-01,6.703055262200000470e+02,3.571057246200000090e-01,-4.807877515572916316e+00,1.862132936509046877e+00
4.500000000000000111e-01,6.864608375599999590e+02,-2.847149351066667958e-02,-4.805504688437499894e+00,1.865144951811907204e+00
5.000000000000000000e-01,7.553611337400000139e+02,-6.685791154299999817e-02,-4.808129512864582900e+00,1.868344530751297361e+00
5.500000000000000444e-01,8.085853544000000284e+02,4.505176765500000235e-01,-4.811153122395833925e+00,1.874217313715400568e+00
6.000000000000000888e-01,7.687737081200000375e+02,-5.641414155733334018e-02,-4.808313317760416261e+00,1.865781622625753755e+00
6.500000000000000222e-01,7.257054010900000094e+02,-2.905371257266666229e-01,-4.807431245000000075e+00,1.850488323584822625e+00
7.000000000000000666e-01,6.683550858400000152e+02,-9.704866838100000004e-02,-4.803984689687499809e+00,1.842986545073492355e+00
7.500000000000000000e-01,7.544008799700000054e+02,-1.279366335566667345e-02,-4.819014774479167151e+00,1.841281942364701552e+00
8.000000000000000444e-01,7.054983602800000426e+02,-7.996116632666668000e-02,-4.817412873958333286e+00,1.836386668771128106e+00
8.500000000000000888e-01,7.035188075600000275e+02,1.857980741059999941e-01,-4.819710498541666333e+00,1.830734236288170669e+00
9.000000000000000222e-01,6.903822031099999776e+02,-5.192182891300000103e-01,-4.819640364166667190e+00,1.819366756782975658e+00
9.500000000000000666e-01,6.639697129500000301e+02,2.131232250700000053e-01,-4.816494383124999779e+00,1.819533032703329667e+00
1.000000000000000000e+00,5.948171991299999490e+02,-3.623380820400000091e-01,-4.806566779947917034e+00,1.823331678324608296e+00
1.050000000000000044e+00,6.768127288499999850e+02,1.316619178300000026e-01,-4.814038374999999981e+00,1.842931822071598891e+00
1.100000000000000089e+00,7.067988407000000279e+02,2.995265499299999967e-01,-4.813264525520833281e+00,1.861997402580676253e+00
1.150000000000000133e+00,7.208280954000000520e+02,1.561033452460000026e-01,-4.813228554270833293e+00,1.867730740750195739e+00
1.200000000000000178e+00,6.604663155700000061e+02,9.514400778533332881e-02,-4.806300125104166376e+00,1.865574576394356754e+00
1.250000000000000000e+00,7.928046528700000408e+02,1.084386683489999975e-01,-4.823903997239583852e+00,1.860534469099227817e+00
1.300000000000000044e+00,6.726934662099999969e+02,1.051005104259999934e-01,-4.811482333645833442e+00,1.850518784244525428e+00
1.350000000000000089e+00,7.134789053599999988e+02,-3.193277851633333220e-01,-4.818079748854166233e+00,1.836371405976609639e+00
1.400000000000000133e+00,6.600455762200000436e+02,-1.908352147799999843e-01,-4.812219070260416842e+00,1.827138055707514086e+00
1.450000000000000178e+00,7.265428084799999624e+02,2.147338123837999879e-01,-4.819229401093750198e+00,1.823916793827225602e+00
1.500000000000000000e+00,7.686949930199999699e+02,-6.484957218000010799e-03,-4.821603544010416798e+00,1.818004923737882805e+00
1.550000000000000044e+00,7.122025483200000053e+02,-9.957875951000000336e-02,-4.812815572395833463e+00,1.812946974252835242e+00
1.600000000000000089e+00,7.078832404400000087e+02,-2.154669052666667237e-02,-4.811343159322916563e+00,1.812134453098761533e+00
1.650000000000000133e+00,6.897522698599999558e+02,6.786963271666666964e-02,-4.808316919166666814e+00,1.809585105152781592e+00
1.700000000000000178e+00,6.986337639700000182e+02,-2.051673453333335232e-03,-4.807170071302083514e+00,1.806872681572776029e+00
1.750000000000000000e+00,7.353308195299999852e+02,-9.345052817339999374e-02,-4.807769073333333587e+00,1.806293448243586175e+00
1.800000000000000044e+00,7.591175365399999464e+02,1.310186801833333192e-01,-4.806242914427083512e+00,1.806644511727052427e+00
1.850000000000000089e+00,7.729502063999999564e+02,1.513293012733333276e-01,-4.806706985677083210e+00,1.803150715994263908e+00
1.900000000000000133e+00,7.659654787199999646e+02,-1.122968393986666508e-01,-4.810686327656250150e+00,1.795699322564952904e+00
1.950000000000000178e+00,7.369950927600000341e+02,-2.075456465479999860e-02,-4.815969772760416490e+00,1.787120702087529489e+00
2.000000000000000000e+00,5.845160480600000028e+02,-2.205276374076666768e-01,-4.801135710468749984e+00,1.778835196707786670e+00
2.050000000000000266e+00,6.973806676100000459e+02,-1.625654101800000084e-01,-4.814365301093750382e+00,1.780671832729837645e+00
2.100000000000000089e+00,7.304212615500000538e+02,-6.909855998633333829e-02,-4.816550597500000030e+00,1.789068753049148031e+00
2.149999999999999911e+00,6.575974253599999884e+02,-4.129050806333332824e-02,-4.806099193177083784e+00,1.799539259438910577e+00
2.200000000000000178e+00,6.978767478500000152e+02,1.298156647113333229e-01,-4.809333862447917163e+00,1.814875079228561505e+00
2.250000000000000000e+00,7.627042277900000045e+02,1.476167930660000072e-01,-4.814967465937500357e+00,1.833071588179360001e+00
2.300000000000000266e+00,7.450041539500000454e+02,-1.534298909010000100e-01,-4.811217626562499738e+00,1.846454360595473743e+00
2.350000000000000089e+00,6.662879959499999813e+02,4.689222524600000219e-01,-4.802874196510416915e+00,1.861366966780207521e+00
2.400000000000000355e+00,6.816068673500000159e+02,-1.533442721403333320e-01,-4.809643883281250254e+00,1.871424632132477006e+00
2.450000000000000178e+00,6.694945297199999459e+02,2.443971672493333303e-01,-4.813682741510416641e+00,1.886834910569163304e+00
2.500000000000000000e+00,6.899751493600000458e+02,3.664990033413333403e-01,-4.818947343906249792e+00,1.893321896150047534e+00
2.550000000000000266e+00,6.786057520099999465e+02,-3.911451698013333478e-01,-4.818861394479166727e+00,1.887613469267284350e+00
2.600000000000000089e+00,6.662589253700000427e+02,2.104348896999994056e-03,-4.817251062447916787e+00,1.890659163488975336e+00
2.650000000000000355e+00,7.088249460800000179e+02,4.329036121233333367e-01,-4.821711215104167003e+00,1.890703750359042035e+00
2.700000000000000178e+00,7.454358738700000231e+02,2.833114366499999703e-01,-4.824982620520833265e+00,1.882436956324122779e+00
2.750000000000000000e+00,6.825056641899999477e+02,-3.250312173000000082e-02,-4.814628849791666276e+00,1.868500049398034601e+00
2.800000000000000266e+00,7.150336822599999778e+02,-1.377087143549999837e-01,-4.815269829895833631e+00,1.850577709020073458e+00
2.850000000000000089e+00,7.162125163399999792e+02,2.263679724240000024e-01,-4.812152870729167198e+00,1.828769806738070658e+00
