time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
5.000000000000000278e-02,9.024115124100000003e+02,3.160207487200000220e-01,-4.780668986145832910e+00,1.543616200821982920e+00
1.000000000000000056e-01,8.833616364099999601e+02,-1.214899883176666640e-01,-4.778348618229166789e+00,1.542636867427201297e+00
1.500000000000000222e-01,8.199875829400000384e+02,9.570221884306667759e-02,-4.768053425885416807e+00,1.542368297180251258e+00
2.000000000000000111e-01,9.363213315899999998e+02,-5.010434334766666886e-02,-4.773509489322916188e+00,1.540223431923170017e+00
2.500000000000000000e-01,1.020021112600000038e+03,1.784613865366666552e-01,-4.774622351718750046e+00,1.537422472292648834e+00
3.000000000000000444e-01,9.925562048199999481e+02,-5.875985178000000392e-02,-4.770078068385417147e+00,1.531578724300922456e+00
3.500000000000000333e-01,9.056207471300000407e+02,-1.900726137946666672e-01,-4.763714759427083223e+00,1.524746775041841529e+00
4.000000000000000222e-01,1.009516165600000022e+03,-3.080071016326666467e-01,-4.782467036145833461e+00,1.522594210144694094e+00
4.500000000000000111e-01,9.104880527799999754e+02,2.205882014929999857e-01,-4.777979113749999840e+00,1.525570127057651382e+00
5.000000000000000000e-01,8.480273589099999754e+02,-1.241326413906666676e-01,-4.775505720937499810e+00,1.523168441817499330e+00
5.500000000000000444e-01,8.577595313199999509e+02,1.762727127566666718e-01,-4.778070156979166150e+00,1.523626586676456895e+00
6.000000000000000888e-01,8.791613734999999679e+02,-6.732180676033332201e-02,-4.780940956250000262e+00,1.522537298699240482e+00
6.500000000000000222e-01,8.853806404299999713e+02,-2.328861659380000171e-01,-4.780412416614583826e+00,1.525247535864873827e+00
7.000000000000000666e-01,8.701149505299999873e+02,-3.282226208666667033e-01,-4.775922593749999834e+00,1.538006531090404749e+00
7.500000000000000000e-01,8.679768024700000524e+02,-5.392499448666668999e-02,-4.770937427864583746e+00,1.559832302120766290e+00
8.000000000000000444e-01,9.877985941199999615e+02,2.755962083786666628e-01,-4.770835047135416396e+00,1.582517525878246234e+00
8.500000000000000888e-01,9.865530500800000482e+02,3.925881868359999971e-01,-4.762394045260417208e+00,1.598907516300662301e+00
9.000000000000000222e-01,9.628609044800000447e+02,4.163563316366666878e-01,-4.760941687239583331e+00,1.604158857823527518e+00
9.500000000000000666e-01,9.365953321599999981e+02,7.100592276333332620e-02,-4.764409259635416838e+00,1.596079504502618818e+00
1.000000000000000000e+00,9.184940845600000330e+02,-3.228690612766666607e-02,-4.768896615104166514e+00,1.586145993218615935e+00
1.050000000000000044e+00,8.600914037899999585e+02,-7.096365510966666790e-01,-4.765402318020833583e+00,1.583173079007283102e+00
1.100000000000000089e+00,8.688948737700000038e+02,2.450266594733333247e-01,-4.765660078906249986e+00,1.594544975494603278e+00
1.150000000000000133e+00,9.770674709800000528e+02,-3.470471774299999645e-01,-4.775691596927083005e+00,1.603533830239159519e+00
1.200000000000000178e+00,9.316509352499999750e+02,-8.912798764333332291e-03,-4.767688215781249461e+00,1.617528007053170791e+00
1.250000000000000000e+00,8.855459627100000262e+02,-2.077564911286666760e-01,-4.760899551249999639e+00,1.630676200722228852e+00
1.300000000000000044e+00,9.712667923100000280e+02,9.654569437333333781e-02,-4.771010241770833105e+00,1.649857416514984854e+00
1.350000000000000089e+00,9.051227552599999626e+02,-1.440753532166333395e-01,-4.762876828541666718e+00,1.668593911678236230e+00
1.400000000000000133e+00,9.618915095700000393e+02,-1.236168855333333316e-01,-4.774868630677083559e+00,1.686397414443228993e+00
1.450000000000000178e+00,9.254876058700000385e+02,-2.753718535433333781e-01,-4.780268246770833507e+00,1.709364996069423048e+00
1.500000000000000000e+00,9.392336652400000503e+02,6.006263556400001091e-01,-4.788583081510416228e+00,1.736463328037593845e+00
1.550000000000000044e+00,8.848579303499999469e+02,-1.663705745120000121e-02,-4.785429101250000095e+00,1.749746403246508875e+00
1.600000000000000089e+00,8.609173949800000401e+02,2.006589157899999754e-01,-4.783652752552083776e+00,1.759329848944478636e+00
1.650000000000000133e+00,9.071200819099999535e+02,1.676374976833333308e-01,-4.790542448802082909e+00,1.762350696769036995e+00
1.700000000000000178e+00,8.562040585199999896e+02,2.228757325203333528e-01,-4.784819150052083359e+00,1.759268025600573493e+00
1.750000000000000000e+00,8.612909276499999578e+02,1.042223015799999784e-02,-4.782672523020833566e+00,1.749722584192695995e+00
1.800000000000000044e+00,1.019790122600000018e+03,1.782478412663333345e-01,-4.793913369843750161e+00,1.739390769466039544e+00
1.850000000000000089e+00,1.020886539100000050e+03,2.799771649896666825e-01,-4.786496126770833470e+00,1.723497766378017104e+00
1.900000000000000133e+00,9.557643557999999757e+02,-3.000892186319999988e-01,-4.776191077031250565e+00,1.703967014483357634e+00
1.950000000000000178e+00,9.003618078599999990e+02,-1.124418959999999856e-01,-4.772940367812499751e+00,1.692469321370080548e+00
2.000000000000000000e+00,9.077913205099999914e+02,-9.419641161100000826e-02,-4.783948457083333494e+00,1.687599208035716725e+00
2.050000000000000266e+00,8.759087299899999834e+02,5.177977371666666606e-01,-4.789652047760417197e+00,1.684761622078525312e+00
2.100000000000000089e+00,7.963767427999999882e+02,-3.941639086000000014e-01,-4.782080752864582784e+00,1.674211888021356787e+00
2.149999999999999911e+00,8.784198425099999668e+02,-4.350610490966666521e-02,-4.790180982812500154e+00,1.675066007068586771e+00
2.200000000000000178e+00,8.312873604100000193e+02,-1.905538618666666739e-01,-4.780250703958333069e+00,1.681848185567927034e+00
2.250000000000000000e+00,8.518625063399999817e+02,4.509756746299999897e-01,-4.776945051354166694e+00,1.690322016120436421e+00
2.300000000000000266e+00,9.763412165099999811e+02,1.316790253506666675e-01,-4.786502406250000341e+00,1.685024361413675731e+00
2.350000000000000089e+00,8.626022437200000468e+02,2.173885690766666767e-01,-4.768348397708333408e+00,1.672806407644769511e+00
2.400000000000000355e+00,9.216366647900000544e+02,-5.384332613999995298e-03,-4.772411121145833768e+00,1.655727435358455013e+00
2.450000000000000178e+00,9.540009357300000374e+02,1.876151643800000046e-01,-4.774114717656249951e+00,1.635608333434649397e+00
2.500000000000000000e+00,9.144571744999999510e+02,2.682814447733332733e-02,-4.769846038177083081e+00,1.612130630507493168e+00
2.550000000000000266e+00,9.285404966400000148e+02,5.398224219633333126e-02,-4.774534787812499737e+00,1.590604905453750995e+00
2.600000000000000089e+00,9.029722076399999651e+02,-3.506211260200000485e-02,-4.776073935416666139e+00,1.568071981703797801e+00
2.650000000000000355e+00,9.721657014400000207e+02,-2.847598497500000159e-01,-4.786781377239583080e+00,1.546720792638310638e+00
2.700000000000000178e+00,9.008877658200000269e+02,-2.762673590433333271e-01,-4.781837271562499936e+00,1.532582615389802116e+00
2.750000000000000000e+00,8.667292699900000343e+02,-2.664529532466666795e-02,-4.779933412083333444e+00,1.524667937121524375e+00
2.800000000000000266e+00,8.789532171099999687e+02,-4.651764950399999710e-01,-4.780363719843749415e+00,1.520858223672637344e+00
2.850000000000000089e+00,9.552550603199999841e+02,-2.011671955366666278e-02,-4.784264762031249951e+00,1.525919136396604481e+00
2.900000000000000355e+00,8.449110125400000015e+02,2.249134708333333510e-02,-4.762665182187499902e+00,1.532576194291493721e+00
2.950000000000000178e+00,9.540515273700000307e+02,3.394051575933333953e-01,-4.768535380885416508e+00,1.536983368401382499e+00
3.000000000000000000e+00,9.241124401600000056e+02,-4.802768189733334220e-02,-4.761493569322916564e+00,1.533548584172498508e+00
3.050000000000000266e+00,1.023169008400000052e+03,2.315361976166666891e-01,-4.776031689635416910e+00,1.529549994373897936e+00
