inverse_T_1000_K,T_from_rounded_x_K,ln_sigmaT_S_cm_K,sigma_mS_cm
3.30033,303.00000303,-0.79511,1.4902031656877937
3.19489,312.9998215901017,-0.40865,2.1231538715309584
3.09598,322.99950258076603,-0.02666,3.0145317030933807
3.003,333.000333000333,0.34643,4.246273560419736
2.91545,343.0002229501449,0.68911,5.807407058405506
2.83286,353.00014826006225,0.97654,7.521960449432548
