time_ps,MSD_A2
257.76,4.39442
258.48,4.39981
259.2,4.4165
259.92,4.42426
260.64,4.42652
261.36,4.43196
262.08,4.44558
262.8,4.45574
263.52,4.44367
264.24,4.46294
264.96,4.48669
265.68,4.49519
266.4,4.50878
267.12,4.51129
267.84,4.53247
268.56,4.55295
269.28,4.57336
270,4.58566
270.72,4.59904
271.44,4.63056
272.16,4.64472
272.88,4.67535
273.6,4.69695
274.32,4.70776
275.04,4.71365
275.76,4.75527
276.48,4.77744
277.2,4.7846
277.92,4.80186
278.64,4.81758
279.36,4.8331
280.08,4.85685
280.8,4.86647
281.52,4.86056
282.24,4.89209
282.96,4.88636
283.68,4.89285
284.4,4.90507
285.12,4.93328
285.84,4.97554
286.56,4.99427
287.28,5.02398
288,5.03953
288.72,5.08104
289.44,5.09781
290.16,5.12987
290.88,5.15178
291.6,5.18006
292.32,5.18683
293.04,5.21903
293.76,5.2487
294.48,5.30001
295.2,5.30083
295.92,5.31742
296.64,5.33714
297.36,5.35826
298.08,5.3686
298.8,5.37273
299.52,5.37921
300.24,5.42314
300.96,5.43879
301.68,5.45241
