lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.560151471681868518e-01,4.514506256194727313e-02,1.269536773283986564e-01,4.537598956283939861e-02,9.346520147079900864e-02
2.000000000000000111e-01,3.484558374563123118e-01,9.922794497823388127e-02,2.499048364296025115e-01,8.503347792587426235e-02,1.480307646694020152e-01
3.000000000000000444e-01,4.071008933996460022e-01,1.440568494114056464e-01,3.380350360632092821e-01,1.245306589203959285e-01,1.993453933012723500e-01
4.000000000000000222e-01,4.593291923492843210e-01,1.882802255268896108e-01,4.075217955020725702e-01,1.535039379554683503e-01,2.354197363141945498e-01
5.000000000000000000e-01,4.947427545806220017e-01,2.215552761318577979e-01,4.542596234289063561e-01,1.774853000816435933e-01,2.643038466426964050e-01
6.000000000000000888e-01,5.256588560335153648e-01,2.501295045117994387e-01,4.912651887506018222e-01,1.969222495824802244e-01,2.881338102625393693e-01
7.000000000000000666e-01,5.518975593548381964e-01,2.733237922820716537e-01,5.196693372030605218e-01,2.131753581527742192e-01,3.075604208494739367e-01
8.000000000000000444e-01,5.726762992719622858e-01,2.910044818766586161e-01,5.424221597534694128e-01,2.266405941237860378e-01,3.241566528228995714e-01
9.000000000000000222e-01,5.908124766586061449e-01,3.042761168806331629e-01,5.608962824257066604e-01,2.368475794636536735e-01,3.371785128731978887e-01
1.000000000000000000e+00,6.072384493126128380e-01,3.141879164335291130e-01,5.755465911757848829e-01,2.441541382028508400e-01,3.469901735259980913e-01
1.100000000000000089e+00,6.217259500418960139e-01,3.211508281412741028e-01,5.869741130390707662e-01,2.492208331198024207e-01,3.538281282376979364e-01
1.200000000000000178e+00,6.332103727163126416e-01,3.255939721285708299e-01,5.954767929174895613e-01,2.521577583015314761e-01,3.584378472248925251e-01
1.300000000000000044e+00,6.411693916884926292e-01,3.274940359364753029e-01,6.005858804618798841e-01,2.537309282329394677e-01,3.605906364856769630e-01
1.400000000000000133e+00,6.486814773933375911e-01,3.274844858689837657e-01,6.027376672453370610e-01,2.542691691436679280e-01,3.619670317609572363e-01
1.500000000000000000e+00,6.546407432934060466e-01,3.262638757614003682e-01,6.030424322954611727e-01,2.537787036176494260e-01,3.619156752711418790e-01
1.600000000000000089e+00,6.568099348768928758e-01,3.235244869922290767e-01,6.002241275957868050e-01,2.528739118166206112e-01,3.609593961409188756e-01
1.700000000000000178e+00,6.601892462729862521e-01,3.205310704433636526e-01,5.974844017352580750e-01,2.513710598431768695e-01,3.597874586596219726e-01
1.800000000000000044e+00,6.638797575002459705e-01,3.174942689021578168e-01,5.948910232953389388e-01,2.496909736397923685e-01,3.588363266725077549e-01
1.900000000000000133e+00,6.665166339880499446e-01,3.143981892438581505e-01,5.927855823085128595e-01,2.474085503933884655e-01,3.571604322432812562e-01
2.000000000000000000e+00,6.700963843894272021e-01,3.114325349847755220e-01,5.902628152348912138e-01,2.454886861392187591e-01,3.562204372596925461e-01
2.100000000000000089e+00,6.753246507688474010e-01,3.089519384060436247e-01,5.885710958418737260e-01,2.440301745504925568e-01,3.556092863080626554e-01
2.200000000000000178e+00,6.784089571606540803e-01,3.070090910779588178e-01,5.876984911513585264e-01,2.424121295991219505e-01,3.552352515170232317e-01
2.300000000000000266e+00,6.833279849459705790e-01,3.054542820551857663e-01,5.871882615820097628e-01,2.411708203538725226e-01,3.544043721641534916e-01
2.400000000000000355e+00,6.885812666875391619e-01,3.043460870862232936e-01,5.872709989168446443e-01,2.401150872340399034e-01,3.543298400014497362e-01
2.500000000000000000e+00,6.928662163708987354e-01,3.036467232634036395e-01,5.873771852388780523e-01,2.396504497057018457e-01,3.543258794374904430e-01
2.600000000000000089e+00,6.965981953340326660e-01,3.034038009628784449e-01,5.885744184224936948e-01,2.397051687406583642e-01,3.549475382147121993e-01
2.700000000000000178e+00,7.005048018152754130e-01,3.033873848914760418e-01,5.901229529475185975e-01,2.398378765194570106e-01,3.557590018871785720e-01
2.800000000000000266e+00,7.047649933224293672e-01,3.035930142066303739e-01,5.915269385740290486e-01,2.400453226404424822e-01,3.570419943569524968e-01
2.900000000000000355e+00,7.086677849741785939e-01,3.036879099689470118e-01,5.924401578057099105e-01,2.402084128904730109e-01,3.575208177752974281e-01
3.000000000000000000e+00,7.130205200540572497e-01,3.037524426210514994e-01,5.933016797821992760e-01,2.404665126991308854e-01,3.583551799275161431e-01
3.100000000000000089e+00,7.159681449805844755e-01,3.042402452242499722e-01,5.941202996734462616e-01,2.410032301999464610e-01,3.597696322778219380e-01
3.200000000000000178e+00,7.208357301760363045e-01,3.053680806731444153e-01,5.963434045980838816e-01,2.421548994514397535e-01,3.615065449766129424e-01
3.300000000000000266e+00,7.236671620456838205e-01,3.070568436004782464e-01,5.992469404188526250e-01,2.436443609867208759e-01,3.638302311183401749e-01
3.400000000000000355e+00,7.292370238420462503e-01,3.092118252829540448e-01,6.030258538861640316e-01,2.454765342036299980e-01,3.661639856846086727e-01
3.500000000000000000e+00,7.338250941634487656e-01,3.118511848146961474e-01,6.072080574267528785e-01,2.471588926406188547e-01,3.689682950132033845e-01
3.600000000000000089e+00,7.393276960296886191e-01,3.146685488804910058e-01,6.113072538080406293e-01,2.489040128720426126e-01,3.718575518989811757e-01
3.700000000000000178e+00,7.453801500147783088e-01,3.175322033122739973e-01,6.164230824707047640e-01,2.510364652357179871e-01,3.749429226929581471e-01
3.800000000000000266e+00,7.502841547343747086e-01,3.206251481359923550e-01,6.220849317320505945e-01,2.531859140005913167e-01,3.785007543220557658e-01
3.900000000000000355e+00,7.562352863742851650e-01,3.236513465112573762e-01,6.271777379171200595e-01,2.555883515955300611e-01,3.820209471673500778e-01
4.000000000000000000e+00,7.601067444048874577e-01,3.264793387321826001e-01,6.317675542911831421e-01,2.577947896890417367e-01,3.853227342369244801e-01
4.100000000000000533e+00,7.656210576741823148e-01,3.293317228410203024e-01,6.363531619838629361e-01,2.602418847751538644e-01,3.884795032149981897e-01
4.200000000000000178e+00,7.701563785085590030e-01,3.322128828902027320e-01,6.410350451170299113e-01,2.625665484184553367e-01,3.920780521012851572e-01
4.299999999999999822e+00,7.740325914050507627e-01,3.351746479082723384e-01,6.456787948781101960e-01,2.651834322136428224e-01,3.952535047118986844e-01
4.400000000000000355e+00,7.793158447973278502e-01,3.377861990781879653e-01,6.498199539679710979e-01,2.676320524416331836e-01,3.985146370558366735e-01
4.500000000000000000e+00,7.837374884288440535e-01,3.399131424899319853e-01,6.534688472521222868e-01,2.699313789745971248e-01,4.012379559667136331e-01
4.600000000000000533e+00,7.885722654169691204e-01,3.417151665534538529e-01,6.565131840135181029e-01,2.718981413582282625e-01,4.041584643293960055e-01
4.700000000000000178e+00,7.917145509216150234e-01,3.432222785690385303e-01,6.589131643738176392e-01,2.732544440187400503e-01,4.070700035004461426e-01
4.800000000000000711e+00,7.949219789674544234e-01,3.443265130510933525e-01,6.609280728842247266e-01,2.740283911389993499e-01,4.087314850821605061e-01
4.900000000000000355e+00,7.994001558781315131e-01,3.449671300858193068e-01,6.621383382020499253e-01,2.741719155653646878e-01,4.095624355895415847e-01
5.000000000000000000e+00,8.022188639095216844e-01,3.452647918770527791e-01,6.632942553739853420e-01,2.743178966768730076e-01,4.102730833862796023e-01
5.100000000000000533e+00,8.049964001205968112e-01,3.450342555819058132e-01,6.642501469893811183e-01,2.740230967339556400e-01,4.107623825026142095e-01
5.200000000000000178e+00,8.065767662567167040e-01,3.444009591717602237e-01,6.648103566750056537e-01,2.738006362336625754e-01,4.108115091695093701e-01
5.300000000000000711e+00,8.096808899467075049e-01,3.440739133437299979e-01,6.656414932144847363e-01,2.737441223288694658e-01,4.119519232168205036e-01
5.400000000000000355e+00,8.127338034910086551e-01,3.439760401657745437e-01,6.670072047746788968e-01,2.733698702718675988e-01,4.126416436755399597e-01
5.500000000000000000e+00,8.148443600762260708e-01,3.438548807912559790e-01,6.680089601792776888e-01,2.733559719579649050e-01,4.135882097780904099e-01
5.600000000000000533e+00,8.177047956733326517e-01,3.439506130895992886e-01,6.687705430284927033e-01,2.732304485444013720e-01,4.137818207064306031e-01
5.700000000000000178e+00,8.205762317543995321e-01,3.440025228909178168e-01,6.697580431252103672e-01,2.732575410748280254e-01,4.141230368244956384e-01
5.800000000000000711e+00,8.230573601161413899e-01,3.442346940089160978e-01,6.709346194611656156e-01,2.734662081802556877e-01,4.148113071873166802e-01
5.900000000000000355e+00,8.257534597228566309e-01,3.450869566420507462e-01,6.726066618778678841e-01,2.742577268352379138e-01,4.160890299769360312e-01
6.000000000000000000e+00,8.288434566027257366e-01,3.462442115251936348e-01,6.748000271272683870e-01,2.753684666068878517e-01,4.179186375656185892e-01
6.100000000000000533e+00,8.324186859024972351e-01,3.477212487582906908e-01,6.770223908076400399e-01,2.766498556076344983e-01,4.201649720258811005e-01
6.200000000000000178e+00,8.362272619555937148e-01,3.496002511746687524e-01,6.798303774162502977e-01,2.780871494637166541e-01,4.225526193378622564e-01
6.300000000000000711e+00,8.404644029208242495e-01,3.520525169108191799e-01,6.829664241588159213e-01,2.799257668539001931e-01,4.247953615313062592e-01
6.400000000000000355e+00,8.448165176637809637e-01,3.545678387277372279e-01,6.863640425969569359e-01,2.817659684066615711e-01,4.275617654024134184e-01
6.500000000000000000e+00,8.480212077225693923e-01,3.566135953572264761e-01,6.895610330873092053e-01,2.832672074465869549e-01,4.299778771165717606e-01
6.600000000000000533e+00,8.503779502633995735e-01,3.581427681864335355e-01,6.920135778736301591e-01,2.846782200112927819e-01,4.319036585352402091e-01
6.700000000000000178e+00,8.535703125676614711e-01,3.592542365665987170e-01,6.935871630409609079e-01,2.860464675009953273e-01,4.342624489821809153e-01
6.800000000000000711e+00,8.578531427262966469e-01,3.604418334491276132e-01,6.952268080027650399e-01,2.872811078005252927e-01,4.362654046121254847e-01
6.900000000000000355e+00,8.613233646704542279e-01,3.615188235377157500e-01,6.970833378453433760e-01,2.886380097284151347e-01,4.381431340034687705e-01
7.000000000000000000e+00,8.645616030203410185e-01,3.620384195970465235e-01,6.978884183827449572e-01,2.894386180843931400e-01,4.394917038775025264e-01
7.100000000000000533e+00,8.658683033534674278e-01,3.625564684401917370e-01,6.985893034287272707e-01,2.904191997947326853e-01,4.412526571089822602e-01
7.200000000000000178e+00,8.682554763883588711e-01,3.630368721343643634e-01,6.986598698542332286e-01,2.909804838956885353e-01,4.416321787623292972e-01
7.300000000000000711e+00,8.707665159069813976e-01,3.634607452646434478e-01,6.992008617476659360e-01,2.919013631185351509e-01,4.432659504111486348e-01
7.400000000000000355e+00,8.738405809486543552e-01,3.634371504337541858e-01,6.996486617758398419e-01,2.924163476931634920e-01,4.439215760887810225e-01
7.500000000000000000e+00,8.778658616663765901e-01,3.635557981488753421e-01,7.004484073871555250e-01,2.929793026288439739e-01,4.448582170622169540e-01
7.600000000000000533e+00,8.804568406518297197e-01,3.637484143923441215e-01,7.017314215903683872e-01,2.929650067412832848e-01,4.453824724879929531e-01
7.700000000000000178e+00,8.825454653304457553e-01,3.641534652544911599e-01,7.033963471946648172e-01,2.932773763527630195e-01,4.462362172141370875e-01
7.800000000000000711e+00,8.842165960777579325e-01,3.644850079484360239e-01,7.050403492714215625e-01,2.934967161232859278e-01,4.468069019332300273e-01
7.900000000000000355e+00,8.858901565161856340e-01,3.648229525435259801e-01,7.069597731917095507e-01,2.935922650686755841e-01,4.473585307535434819e-01
