time_ps,MSD_A2
0.42,0.49929
0.84,0.6897
1.26,0.7975
1.68,0.85881
2.1,0.89957
2.52,0.92843
2.94,0.95038
3.36,0.9692
3.78,0.98412
4.2,1.00036
4.62,1.0172
5.04,1.03647
5.46,1.05258
5.88,1.07113
6.3,1.08633
6.72,1.10115
7.14,1.11348
7.56,1.12499
7.98,1.13562
8.4,1.14609
8.82,1.15457
9.24,1.16179
9.66,1.16936
10.08,1.18026
10.5,1.19479
10.92,1.21077
11.34,1.22172
11.76,1.23235
12.18,1.24128
12.6,1.25033
13.02,1.2579
13.44,1.26513
13.86,1.27032
14.28,1.27643
14.7,1.28325
15.12,1.29207
15.54,1.30103
15.96,1.30883
16.38,1.31718
16.8,1.32486
17.22,1.32918
17.64,1.33747
18.06,1.34544
18.48,1.35353
18.9,1.35659
19.32,1.36335
19.74,1.3685
20.16,1.37362
20.58,1.37673
21,1.38437
21.42,1.38886
21.84,1.39294
22.26,1.39679
22.68,1.40291
23.1,1.40774
23.52,1.41213
23.94,1.41725
24.36,1.41958
24.78,1.42185
25.2,1.42909
25.62,1.43448
26.04,1.4444
26.46,1.44906
26.88,1.45501
27.3,1.46032
27.72,1.46259
28.14,1.46269
28.56,1.4683
28.98,1.47129
29.4,1.47624
29.82,1.48137
30.24,1.48921
30.66,1.49706
31.08,1.5042
31.5,1.50793
31.92,1.51314
32.34,1.51913
32.76,1.52185
33.18,1.52357
33.6,1.5278
34.02,1.53203
34.44,1.53755
34.86,1.54169
35.28,1.54587
35.7,1.54704
36.12,1.55134
36.54,1.55645
36.96,1.56106
37.38,1.56625
37.8,1.56921
38.22,1.57101
38.64,1.57566
39.06,1.57957
39.48,1.58337
39.9,1.58694
40.32,1.59011
40.74,1.58916
41.16,1.59358
41.58,1.6018
42,1.60561
42.42,1.61586
42.84,1.62309
43.26,1.6266
43.68,1.6303
44.1,1.63353
44.52,1.63656
44.94,1.64144
45.36,1.64446
45.78,1.64626
46.2,1.65093
46.62,1.65529
47.04,1.66074
47.46,1.66673
47.88,1.67175
48.3,1.67488
48.72,1.68016
49.14,1.68678
49.56,1.69411
49.98,1.69843
50.4,1.70173
50.82,1.70548
51.24,1.70931
51.66,1.71176
52.08,1.71442
52.5,1.71831
52.92,1.7216
53.34,1.72672
53.76,1.73109
54.18,1.73777
54.6,1.74032
55.02,1.74463
55.44,1.74698
55.86,1.74948
56.28,1.7545
56.7,1.75851
57.12,1.76435
57.54,1.77171
57.96,1.77627
58.38,1.77935
58.8,1.78509
59.22,1.78889
59.64,1.78946
60.06,1.79367
60.48,1.79878
60.9,1.79905
61.32,1.80285
61.74,1.80563
62.16,1.80887
62.58,1.8134
63,1.8169
63.42,1.82168
63.84,1.82749
64.26,1.83214
64.68,1.83575
65.1,1.83839
65.52,1.8447
65.94,1.84656
66.36,1.84945
66.78,1.85339
67.2,1.85735
67.62,1.86075
68.04,1.86612
68.46,1.87089
68.88,1.87667
69.3,1.88635
69.72,1.89165
70.14,1.89597
70.56,1.89941
70.98,1.90292
71.4,1.90703
71.82,1.90985
72.24,1.91379
72.66,1.9154
73.08,1.91862
73.5,1.92183
73.92,1.92474
74.34,1.93036
74.76,1.93642
75.18,1.94054
75.6,1.94122
76.02,1.94392
76.44,1.94839
76.86,1.95288
77.28,1.9534
77.7,1.95233
78.12,1.95797
78.54,1.96525
78.96,1.97382
79.38,1.98223
79.8,1.98683
80.22,1.98856
80.64,1.98844
81.06,1.98797
81.48,1.98792
81.9,1.99176
82.32,1.99799
82.74,2.00145
83.16,2.00691
83.58,2.01123
84,2.01457
84.42,2.01851
84.84,2.02258
85.26,2.02549
85.68,2.02847
86.1,2.03355
86.52,2.03932
86.94,2.04173
87.36,2.04623
87.78,2.05294
88.2,2.05554
88.62,2.05459
89.04,2.05591
89.46,2.06288
89.88,2.06485
90.3,2.07121
90.72,2.07685
91.14,2.08119
91.56,2.0876
91.98,2.09001
92.4,2.09445
92.82,2.09702
93.24,2.1048
93.66,2.10968
94.08,2.11204
94.5,2.11663
94.92,2.12236
95.34,2.12882
95.76,2.13116
96.18,2.13427
96.6,2.13938
97.02,2.14085
97.44,2.14552
97.86,2.14894
98.28,2.15502
98.7,2.1585
99.12,2.16226
99.54,2.16534
99.96,2.16902
100.38,2.17096
100.8,2.17527
101.22,2.18127
101.64,2.18469
102.06,2.18839
102.48,2.19587
102.9,2.2013
103.32,2.20366
103.74,2.20991
104.16,2.20962
104.58,2.21632
105,2.21882
105.42,2.224
105.84,2.22989
106.26,2.23485
106.68,2.23888
107.1,2.24238
107.52,2.2451
107.94,2.25197
108.36,2.25765
108.78,2.26281
109.2,2.26728
109.62,2.27203
110.04,2.2729
110.46,2.27853
110.88,2.28156
111.3,2.28615
111.72,2.292
112.14,2.29153
112.56,2.29543
112.98,2.29865
113.4,2.30253
113.82,2.30528
114.24,2.30404
114.66,2.30612
115.08,2.30633
115.5,2.31015
115.92,2.31513
116.34,2.31832
116.76,2.31946
117.18,2.32192
117.6,2.32559
118.02,2.32837
118.44,2.32851
118.86,2.33349
119.28,2.33719
119.7,2.34439
120.12,2.34752
120.54,2.34885
120.96,2.35124
121.38,2.35411
121.8,2.35823
122.22,2.35967
122.64,2.36251
123.06,2.36376
123.48,2.36952
123.9,2.37307
124.32,2.38088
124.74,2.387
125.16,2.38913
125.58,2.39167
126,2.39348
126.42,2.39755
126.84,2.3985
127.26,2.40232
127.68,2.40835
128.1,2.41348
128.52,2.41793
128.94,2.42267
129.36,2.42593
129.78,2.43296
130.2,2.43777
130.62,2.43809
131.04,2.43969
131.46,2.44366
131.88,2.44788
132.3,2.4523
132.72,2.45542
133.14,2.46096
133.56,2.46139
133.98,2.46437
134.4,2.46812
134.82,2.47237
135.24,2.47479
135.66,2.47941
136.08,2.47849
136.5,2.48162
136.92,2.48352
137.34,2.48997
137.76,2.49247
138.18,2.49775
138.6,2.50239
139.02,2.50555
139.44,2.5083
139.86,2.51156
140.28,2.51642
140.7,2.52143
141.12,2.52097
141.54,2.51954
141.96,2.52426
142.38,2.52862
142.8,2.52981
143.22,2.53122
143.64,2.53765
144.06,2.54174
144.48,2.54204
144.9,2.54335
145.32,2.54436
145.74,2.5463
146.16,2.54513
146.58,2.5473
147,2.5491
147.42,2.55393
147.84,2.55319
148.26,2.55509
148.68,2.55735
149.1,2.5636
149.52,2.56975
149.94,2.57488
150.36,2.58105
150.78,2.58116
151.2,2.584
151.62,2.58858
152.04,2.59005
152.46,2.59192
152.88,2.59401
153.3,2.60031
153.72,2.60367
154.14,2.60644
154.56,2.60771
154.98,2.60585
155.4,2.60852
155.82,2.61081
156.24,2.61391
156.66,2.62267
157.08,2.6284
157.5,2.63274
157.92,2.63768
158.34,2.63726
158.76,2.64122
159.18,2.64571
159.6,2.64642
160.02,2.64563
160.44,2.64848
160.86,2.65233
161.28,2.65525
161.7,2.6576
162.12,2.65948
162.54,2.6641
