T_K,PE_eV_atom,P_GPa,rho_g_cm3
3.122758170906201372e+02,-5.469581142514711836e+00,6.516451815244105050e-02,1.863762347834728716e+00
3.381468415204996631e+02,-5.469429267043384613e+00,6.062808320749021873e-02,1.863762347834728716e+00
3.604282667000795755e+02,-5.465652190674998856e+00,1.198691954850780450e-01,1.863762347834728716e+00
3.876042125832597094e+02,-5.462029448432350165e+00,9.041973327021529672e-02,1.863762347834728716e+00
