T_K,PE_eV_atom,P_GPa,rho_g_cm3
4.006517286257998194e+02,-5.460844536709557495e+00,2.753976281657400868e-02,1.863762347834742927e+00
3.981488097782000182e+02,-5.461280096481618607e+00,4.325575219180542719e-02,1.863762347834742927e+00
3.994599012429999902e+02,-5.461363218900732619e+00,4.432575134537257433e-02,1.863762347834742927e+00
3.994181857214000502e+02,-5.461794558220585571e+00,4.316795124563731906e-02,1.863762347834742927e+00
