model,T_K,D_20to80_cm2_s,R2,alpha,CN_LiCl,CN_LiO,CN_ZrCl,CN_ZrO,Li_MSD80_A2,Zr_MSD80_A2,O_MSD80_A2,Cl_MSD80_A2
MACE,700,3.42891350602879e-05,0.9998170174994135,0.9112285818280144,3.5521541950113376,0.12358276643990933,4.3273809523809526,1.132936507936508,172.00855391294778,43.712341729332444,26.61065846543564,76.00042812805451
NEP89,700,1.6864629091478722e-05,0.997965926774667,0.7850856832474591,4.4807256235827655,0.18934240362811788,4.859126984126984,1.33531746031746,92.68467732523615,6.741694362037045,4.608046598374939,18.633646353627128
MACE,800,5.35270848818754e-05,0.9995577872486568,0.9280635977889501,3.424036281179138,0.0963718820861678,4.353174603174604,1.2103174603174605,265.03970560009907,76.56397431018603,40.73025882627073,125.549460938814
NEP89,800,3.6152738861957994e-05,0.998656873504179,0.8983838369741421,4.315192743764171,0.20521541950113378,4.841269841269841,1.28968253968254,182.46066012496223,36.81222273640806,10.966242634272746,54.86866936309405
MACE,900,6.25723288205609e-05,0.999878513646516,0.8829046100223978,3.3696145124716557,0.12131519274376419,4.174603174603174,1.0317460317460316,321.37889046273233,174.5392936558838,116.33013265436348,214.00865492075326
NEP89,900,5.267268377720772e-05,0.9995815887722761,0.8899397875464788,4.2687074829931975,0.1564625850340136,4.807539682539682,1.331349206349206,268.4035921428586,40.61384205490392,15.460720018451417,73.38811759486359
