block_centre_ps,D_5to20_cm2_s
2.500000000000000000e+01,1.127452660188966501e-06
7.500000000000000000e+01,1.941491176886276547e-06
1.250000000000000000e+02,4.934257358131995717e-07
1.750000000000000000e+02,2.548166515889687717e-07
