lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,8.942689109873913633e-01,1.108921744819575256e-01,1.717075525687735971e-01,3.064314537182973308e-01
2.000000000000000111e-01,1.523770575988993903e+00,2.427617327667291602e-01,2.760935002396485705e-01,6.284710567927425107e-01
2.999999999999999889e-01,1.999167123788148093e+00,3.639115952671601040e-01,3.592175211333915597e-01,8.883428264777560868e-01
4.000000000000000222e-01,2.435332264823592663e+00,4.943471806057357365e-01,4.387783967956826459e-01,1.142623185333036639e+00
5.000000000000000000e-01,2.837945999430375288e+00,6.045772931692887653e-01,5.141071015695328761e-01,1.366237017760104422e+00
5.999999999999999778e-01,3.224871863118449866e+00,7.094795770216274500e-01,5.837444042842343528e-01,1.579025236865330140e+00
6.999999999999999556e-01,3.588765193506692430e+00,8.052393163283901867e-01,6.455981991391255281e-01,1.763394443304088455e+00
8.000000000000000444e-01,3.932173796133834998e+00,8.954806726916625381e-01,7.015578421140731269e-01,1.938562103836543704e+00
9.000000000000000222e-01,4.270332349831376106e+00,9.823888090457529865e-01,7.539831039507814969e-01,2.111122909777484846e+00
1.000000000000000000e+00,4.599600169870843303e+00,1.063897113168590147e+00,8.045756055475991042e-01,2.272308328505830310e+00
1.100000000000000089e+00,4.919747929791887131e+00,1.142227889590064382e+00,8.506662274252143607e-01,2.425520408074614220e+00
1.199999999999999956e+00,5.229466688380848716e+00,1.217251005552778320e+00,8.921368631856444464e-01,2.569860135739725937e+00
1.300000000000000044e+00,5.538719406006473278e+00,1.287866202804417881e+00,9.322499344948388389e-01,2.705549942892119919e+00
1.399999999999999911e+00,5.849718277615293616e+00,1.355566862397946659e+00,9.680006299496650701e-01,2.835860936620243855e+00
1.500000000000000000e+00,6.150576058731418883e+00,1.421185113438415248e+00,1.003730969910257453e+00,2.958468553651890431e+00
1.600000000000000089e+00,6.440794308854118633e+00,1.483855772174865084e+00,1.034030237344345293e+00,3.076393088770920770e+00
1.699999999999999956e+00,6.728932393503234799e+00,1.543118206661200587e+00,1.061255678411104908e+00,3.188496792115816270e+00
1.800000000000000044e+00,7.021183589730960684e+00,1.599006331760119526e+00,1.086198223102107008e+00,3.296226599589400674e+00
1.899999999999999911e+00,7.312358944957184193e+00,1.651670539282855010e+00,1.110137523787994240e+00,3.400969028492157431e+00
2.000000000000000000e+00,7.601017991367568172e+00,1.701671970014645430e+00,1.131022865010092859e+00,3.501529874856273317e+00
2.100000000000000089e+00,7.885022721254858702e+00,1.750375799322206882e+00,1.149629538712607868e+00,3.598177544794179283e+00
2.200000000000000178e+00,8.168182035515172856e+00,1.799058476478176294e+00,1.169973159593807432e+00,3.693142302741338590e+00
2.299999999999999822e+00,8.446794149992797429e+00,1.847311956753981299e+00,1.191005137262015179e+00,3.786866169709433461e+00
2.399999999999999911e+00,8.720453001745596566e+00,1.894077935496176757e+00,1.211770849351526014e+00,3.882161597334936154e+00
2.500000000000000000e+00,8.993654840728076749e+00,1.939560058441681001e+00,1.231733800185360161e+00,3.977192228737812751e+00
2.600000000000000089e+00,9.268936930053417456e+00,1.984218567453564397e+00,1.250885934194344573e+00,4.071187021873565293e+00
