lo_ps,hi_ps,D_cm2_s,R2,alpha,intercept_A2
5.000000000000000000e+00,2.000000000000000000e+01,1.151861823676327050e-06,9.992462480438202288e-01,4.646082608645406009e-01,8.620431883801570327e-01
1.000000000000000000e+01,4.000000000000000000e+01,1.137976968319038602e-06,9.998561035201397607e-01,6.213909380576866370e-01,8.775507038882897071e-01
2.000000000000000000e+01,8.000000000000000000e+01,1.100315338035733592e-06,9.991932736480499955e-01,7.479038677209016717e-01,9.624415763901206233e-01
4.000000000000000000e+01,1.000000000000000000e+02,1.082785857981287328e-06,9.992472285402471677e-01,8.007678323006627297e-01,1.035058204540158400e+00
