T_K,paper_tracer_D_cm2_s,paper_tracer_reported_plusminus,paper_charge_D_cm2_s,NEP_MTTK_D_app_cm2_s,NEP_NHC_D_app_cm2_s,MTTK_over_tracer,NHC_over_tracer
3.400000000000000000e+02,2.089999999999999895e-06,5.999999999999999464e-08,2.659999999999999943e-06,1.079556042286285227e-07,3.269961460045734474e-07,5.165339915245384383e-02,1.564574861265901617e-01
3.600000000000000000e+02,1.769999999999999994e-06,4.000000000000000084e-08,3.029999999999999789e-06,5.266207970490647203e-07,5.501152855567914974e-07,2.975258740390196444e-01,3.107995963597692257e-01
3.800000000000000000e+02,3.499999999999999947e-06,9.999999999999999547e-08,6.019999999999999113e-06,1.704843753530234122e-06,8.956841862001400963e-07,4.870982152943525989e-01,2.559097674857543359e-01
