T_K,MACE_job_seconds,NEP_job_seconds
6.000000000000000000e+02,1.483047799999999916e+04,5.443440000000000509e+02
7.000000000000000000e+02,1.801997000000000116e+04,5.021050000000000182e+02
8.000000000000000000e+02,1.448545199999999932e+04,5.018799999999999955e+02
9.000000000000000000e+02,1.897505700000000070e+04,4.971370000000000005e+02
