model,species,system_COM_corrected_MSD_A2
MACE,Li,218.70413209725606
MACE,Zr,58.318996776489826
MACE,O,43.176370542031805
MACE,Cl,92.7405472400303
NEP89,Li,114.8672999611464
NEP89,Zr,9.87303531014952
NEP89,O,5.595886790922408
NEP89,Cl,20.997852246373363
