model,target_K,records,mean_T_K,mean_P_GPa,mean_density_g_cm3,PE_last50_minus_first50_eV_atom
MACE,700,4001,699.3086839190202,-0.011869494197185203,1.1474229,-0.003849420328837283
NEP89,700,4000,699.5191001042949,0.0029709231206181846,1.7857596959321815,-0.009756909094061683
MACE,800,4001,800.0590873406649,-0.007045446450229943,1.2727774999999997,-0.0005878564411636589
NEP89,800,4000,800.5267799945625,0.03280563943105903,1.6633403603772299,-0.010748912462812399
MACE,900,4001,900.7297537340665,-0.012267467768396403,0.9251277800000003,-0.00014627430772318206
NEP89,900,4000,898.9888975597424,0.011809182458366315,1.5395535100510538,-0.009220447440521973
