block_center_ps,slope_D_cm2_s
2.500000000000000000e+01,7.107431808306915293e-07
7.500000000000000000e+01,7.123666160961213772e-07
1.250000000000000000e+02,5.669457466115104120e-07
1.750000000000000000e+02,6.119581176078717459e-07
