block_center_ps,slope_D_cm2_s
2.500000000000000000e+01,1.865324854787484528e-06
7.500000000000000000e+01,1.460344743347411211e-06
1.250000000000000000e+02,9.248017444901257643e-07
1.750000000000000000e+02,9.496509528562186449e-07
