block_center_ps,slope_D_cm2_s
2.500000000000000000e+01,1.901283798479957775e-07
7.500000000000000000e+01,7.684355059156934022e-07
1.250000000000000000e+02,3.933772582021172007e-07
1.750000000000000000e+02,4.683195942197669436e-07
