lag_ps,MSD_A2
2.770000000000000284e+01,1.373892655363980753e+00
2.780000000000000071e+01,1.377247295368153157e+00
2.790000000000000213e+01,1.378525806235358475e+00
2.800000000000000000e+01,1.378456408918000253e+00
2.810000000000000142e+01,1.379717224648728813e+00
2.820000000000000284e+01,1.380651403063549054e+00
2.830000000000000071e+01,1.379523303999956152e+00
2.840000000000000213e+01,1.376836253706486879e+00
2.850000000000000000e+01,1.376934395764334740e+00
2.860000000000000142e+01,1.378181641871452978e+00
2.870000000000000284e+01,1.380112664803722078e+00
2.880000000000000071e+01,1.380197049733828729e+00
2.890000000000000213e+01,1.382569877826790750e+00
2.900000000000000000e+01,1.385661116543272398e+00
2.910000000000000142e+01,1.387118403142679313e+00
2.920000000000000284e+01,1.386509051479576149e+00
2.930000000000000071e+01,1.386008547839858718e+00
2.940000000000000213e+01,1.388729598112786068e+00
2.950000000000000000e+01,1.392697306687449954e+00
2.960000000000000142e+01,1.392559460819865702e+00
2.970000000000000284e+01,1.391876210210732046e+00
2.980000000000000071e+01,1.392241852218150777e+00
2.990000000000000213e+01,1.389979495626093353e+00
3.000000000000000000e+01,1.388308203781002836e+00
3.010000000000000142e+01,1.388951660866680982e+00
3.020000000000000284e+01,1.390103043990332576e+00
3.030000000000000071e+01,1.392900585184722484e+00
3.040000000000000213e+01,1.395562331853002824e+00
3.050000000000000000e+01,1.396626122585341800e+00
3.060000000000000142e+01,1.398566808900235880e+00
3.070000000000000284e+01,1.400621254006410021e+00
3.080000000000000071e+01,1.401458739284724198e+00
3.090000000000000213e+01,1.403607957597438949e+00
3.100000000000000000e+01,1.405744302129976475e+00
3.110000000000000142e+01,1.407168108116673366e+00
3.120000000000000284e+01,1.408326870251941587e+00
3.130000000000000071e+01,1.407856658811514450e+00
3.140000000000000213e+01,1.410584094858562620e+00
3.150000000000000000e+01,1.413343475056208165e+00
3.160000000000000142e+01,1.414687710409741728e+00
3.170000000000000284e+01,1.415346916438005476e+00
3.180000000000000071e+01,1.417344719723203639e+00
3.190000000000000213e+01,1.420105432502692278e+00
3.200000000000000000e+01,1.424180564525166393e+00
3.210000000000000142e+01,1.426543566872211066e+00
3.220000000000000284e+01,1.428038288562179847e+00
3.230000000000000426e+01,1.430118978976828270e+00
3.239999999999999858e+01,1.432221673545181373e+00
3.250000000000000000e+01,1.431856216744265886e+00
3.260000000000000142e+01,1.432103603021312122e+00
3.270000000000000284e+01,1.435229093048362659e+00
3.280000000000000426e+01,1.435960283796695158e+00
3.289999999999999858e+01,1.436527626679812153e+00
3.300000000000000000e+01,1.437154032447172547e+00
3.310000000000000142e+01,1.434929080159556225e+00
3.320000000000000284e+01,1.434363340915666196e+00
3.330000000000000426e+01,1.434719570974655189e+00
3.339999999999999858e+01,1.433486004456864915e+00
3.350000000000000000e+01,1.432930512214767749e+00
3.360000000000000142e+01,1.432559887901482698e+00
3.370000000000000284e+01,1.431964972214969878e+00
3.380000000000000426e+01,1.434098183678901961e+00
3.389999999999999858e+01,1.436219098120533610e+00
3.400000000000000000e+01,1.439351468991673988e+00
3.410000000000000142e+01,1.443102202064704409e+00
3.420000000000000284e+01,1.443998246863842150e+00
3.430000000000000426e+01,1.445054382879141563e+00
3.439999999999999858e+01,1.447755434064059488e+00
3.450000000000000000e+01,1.448529149937815896e+00
3.460000000000000142e+01,1.448843008142100430e+00
3.470000000000000284e+01,1.449397135244794521e+00
3.480000000000000426e+01,1.449617269096038275e+00
3.489999999999999858e+01,1.449478302647877026e+00
3.500000000000000000e+01,1.449931914286377799e+00
3.510000000000000142e+01,1.451049024489282635e+00
3.520000000000000284e+01,1.453894481773870595e+00
3.530000000000000426e+01,1.452589817028561159e+00
3.539999999999999858e+01,1.454782172510555860e+00
3.550000000000000000e+01,1.456720000585769004e+00
3.560000000000000142e+01,1.460922506804683163e+00
3.570000000000000284e+01,1.464598082873447726e+00
3.580000000000000426e+01,1.467334278825464189e+00
3.589999999999999858e+01,1.468798897614494559e+00
3.600000000000000000e+01,1.470706092428405887e+00
3.610000000000000142e+01,1.474453524528041015e+00
3.620000000000000284e+01,1.475176050761643820e+00
3.630000000000000426e+01,1.476087430990714155e+00
3.639999999999999858e+01,1.478163419504546106e+00
3.650000000000000000e+01,1.480612517108437887e+00
3.660000000000000142e+01,1.482807676924355222e+00
3.670000000000000284e+01,1.481694052656324923e+00
3.680000000000000426e+01,1.481546637612827233e+00
3.689999999999999858e+01,1.482944571511352283e+00
3.700000000000000000e+01,1.484930458055405911e+00
3.710000000000000142e+01,1.486149781814397386e+00
3.720000000000000284e+01,1.490261841305533741e+00
3.730000000000000426e+01,1.491924053729520194e+00
3.739999999999999858e+01,1.494514561718697454e+00
3.750000000000000000e+01,1.497241871354122233e+00
3.760000000000000142e+01,1.498452751156629237e+00
3.770000000000000284e+01,1.500428781232413078e+00
3.780000000000000426e+01,1.501123910817457663e+00
3.789999999999999858e+01,1.502610453686773706e+00
3.800000000000000000e+01,1.503195253871425718e+00
3.810000000000000142e+01,1.505123469070193565e+00
3.820000000000000284e+01,1.505449767033987252e+00
3.830000000000000426e+01,1.506485638770505231e+00
3.840000000000000568e+01,1.506234019723123874e+00
3.850000000000000000e+01,1.507070558244677727e+00
3.860000000000000142e+01,1.508205460158841493e+00
3.870000000000000284e+01,1.510907634863079663e+00
3.880000000000000426e+01,1.514488071671350466e+00
3.890000000000000568e+01,1.517185297344936901e+00
3.900000000000000000e+01,1.517704578111989555e+00
3.910000000000000142e+01,1.521312560510098777e+00
3.920000000000000284e+01,1.524174088103056990e+00
3.930000000000000426e+01,1.524921156110778053e+00
3.940000000000000568e+01,1.524589151382432561e+00
3.950000000000000000e+01,1.524665590304402851e+00
3.960000000000000142e+01,1.525534796735794396e+00
