# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
410000 254.625 331.6 484.461 1070.69
411000 256.817 329.921 493.28 1080.02
412000 256.603 335.838 484.453 1076.89
413000 259.883 335.461 485.99 1081.33
414000 260.294 335.146 494.994 1090.43
415000 261.922 330.103 497.475 1089.5
416000 264.316 331.019 508.094 1103.43
417000 261.117 333.492 503.229 1097.84
418000 265.169 328.526 502.808 1096.5
419000 266.005 334.683 503.431 1104.12
420000 262.013 330.424 512.076 1104.51
421000 267.703 328.09 515.881 1111.67
422000 270.266 327.177 509.433 1106.88
423000 270.476 324.641 505.645 1100.76
424000 273.739 329.619 516.96 1120.32
425000 275.692 321.746 520.958 1118.4
426000 274.749 320.959 517.092 1112.8
427000 272.7 320.974 527.568 1121.24
428000 277.457 325.307 537.372 1140.14
429000 275.047 320.989 528.022 1124.06
430000 275.277 325.588 531.579 1132.44
431000 271.92 325.092 543.133 1140.15
432000 262.714 332.107 527.921 1122.74
433000 264.785 333.909 530.687 1129.38
434000 266.886 338.88 527.964 1133.73
435000 268.278 337.489 527.933 1133.7
436000 273.266 340.538 523.965 1137.77
437000 270.365 342.507 532.858 1145.73
438000 265.502 342.822 542.481 1150.81
439000 268.784 344.063 531.759 1144.61
440000 267.662 342.876 536.832 1147.37
441000 268.431 349.005 541.831 1159.27
442000 275.704 342.678 551.113 1169.49
443000 275.618 353.69 545.482 1174.79
444000 273.701 353.314 556.108 1183.12
445000 275.8 359.123 567.434 1202.36
446000 273.439 357.839 568.963 1200.24
447000 271.255 361.498 577.856 1210.61
448000 267.353 357.786 577.164 1202.3
449000 273.86 360.539 571.96 1206.36
450000 278.72 356.07 565.402 1200.19
451000 274.202 358.637 556.337 1189.18
452000 280.436 356.785 552.36 1189.58
453000 284.014 360.042 556.51 1200.57
454000 280.632 358.049 556.333 1195.01
455000 281.755 362.688 562.859 1207.3
456000 283.262 369.833 571.394 1224.49
457000 280.522 374.901 572.366 1227.79
458000 280.014 377.227 566.632 1223.87
459000 283.743 375.234 577.488 1236.46
460000 289.138 381.3 578.746 1249.18
461000 288.5 381.627 579.346 1249.47
462000 289.873 376.786 567.258 1233.92
463000 280.686 379.022 564.33 1224.04
464000 283.814 379.688 569.089 1232.59
465000 287.042 375.972 560.795 1223.81
466000 286.589 375.619 559.615 1221.82
467000 294.827 382.094 563.163 1240.08
468000 295.929 379.585 561.318 1236.83
469000 290.075 376.955 563.548 1230.58
470000 292.905 376.935 560.865 1230.71
471000 298.212 376.379 567.728 1242.32
472000 295.227 374.968 570.713 1240.91
473000 301.827 378.794 558.984 1239.61
474000 302.165 382.587 558.171 1242.92
475000 306.453 386.086 560.881 1253.42
476000 309.844 380.777 578.478 1269.1
477000 306.264 381.583 571.014 1258.86
478000 313.445 378.982 576.173 1268.6
479000 318.5 382.645 579.475 1280.62
480000 320.848 378.772 574.752 1274.37
481000 319.32 379.968 570.368 1269.65
482000 319.163 381.634 571.916 1272.71
483000 320.996 393.628 581.732 1296.36
484000 320.224 389.814 579.542 1289.58
485000 314.423 389.618 572.659 1276.7
486000 317.663 391.551 576.155 1285.37
487000 314.138 397.569 583.497 1295.2
