# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 3.36498e-30 2.21115e-30 1.30741e-30 6.88354e-30
1000 0.578101 0.53086 1.15947 2.26843
2000 0.788872 1.02706 2.01963 3.83555
3000 0.985403 1.34627 4.04751 6.37918
4000 1.42614 2.32326 4.90869 8.65809
5000 1.63354 2.89198 5.25975 9.78528
6000 1.76195 3.097 6.50438 11.3633
7000 1.83613 3.39466 6.43192 11.6627
8000 2.13513 3.6907 8.03505 13.8609
9000 2.15888 4.12974 9.06673 15.3554
10000 2.69361 3.896 9.35271 15.9423
11000 3.74074 4.29232 10.2202 18.2532
12000 4.52254 5.05148 12.4274 22.0014
13000 5.16528 4.92111 11.9702 22.0566
14000 5.37277 5.98672 14.1564 25.5159
15000 6.63196 7.89512 15.8615 30.3886
16000 6.98016 8.421 16.6363 32.0375
17000 6.75862 8.01164 17.9252 32.6955
18000 6.74662 8.18624 19.3237 34.2565
19000 5.915 8.59803 21.5414 36.0544
20000 7.17609 8.66066 24.1851 40.0219
21000 7.08572 9.10127 24.9092 41.0962
22000 7.31899 10.632 26.5447 44.4956
23000 7.64056 10.7841 29.1334 47.558
24000 8.39521 11.0946 29.281 48.7708
25000 9.11215 11.0918 28.7594 48.9634
26000 9.60767 10.9735 27.5442 48.1254
27000 9.99248 11.8202 29.256 51.0687
28000 10.8678 12.2112 29.8709 52.9499
29000 11.1317 12.0324 29.7139 52.878
30000 10.2537 13.5191 30.1074 53.8802
31000 10.7236 12.9725 33.0917 56.7878
32000 10.5439 13.7889 33.6343 57.9671
33000 12.3749 13.4343 33.2593 59.0685
34000 12.6869 13.1052 34.479 60.2711
35000 14.5217 13.7967 34.6575 62.9758
36000 15.4077 14.7061 34.7277 64.8415
37000 16.3771 15.7713 33.3441 65.4925
38000 16.4339 17.2286 34.6047 68.2672
39000 17.4945 19.2741 34.8664 71.635
40000 17.2314 18.6142 36.7375 72.5831
41000 17.8438 19.0585 38.4077 75.3099
42000 19.0833 19.5078 38.6842 77.2753
43000 19.3638 19.8149 38.6601 77.8388
44000 18.404 20.8028 38.3488 77.5556
45000 18.5593 19.6547 40.0271 78.2412
46000 18.2239 20.938 38.2908 77.4527
47000 19.1053 19.8031 36.558 75.4665
48000 18.7953 19.8668 37.9956 76.6577
49000 19.4107 19.9113 38.486 77.8079
50000 19.5747 20.9942 39.051 79.6199
51000 18.1335 20.2632 38.0057 76.4024
52000 17.7711 20.9421 39.936 78.6492
53000 17.2204 20.7637 40.8763 78.8604
54000 19.1187 22.476 41.3507 82.9454
55000 18.9772 22.4467 40.214 81.6379
56000 18.2629 22.3395 40.5227 81.1251
57000 17.8411 22.5996 40.8913 81.332
58000 18.8317 22.5733 41.5991 83.0041
59000 19.2175 22.5733 42.9074 84.6982
60000 19.4234 23.2055 42.4803 85.1092
61000 19.8447 23.0592 43.7911 86.695
62000 19.9062 24.0984 42.9097 86.9144
63000 20.3727 23.8374 43.6542 87.8643
64000 20.9176 24.3031 46.6214 91.8421
65000 19.2048 24.7077 48.0032 91.9157
66000 19.0354 25.7778 48.909 93.7223
67000 20.102 24.6346 46.7974 91.5339
68000 18.5046 24.8639 47.1516 90.5201
69000 19.7778 27.1986 49.8129 96.7893
70000 20.4811 27.4363 51.5634 99.4808
71000 22.1718 28.6076 48.5964 99.3758
72000 21.6428 29.6566 47.9207 99.2201
73000 22.056 28.9365 47.1144 98.1069
74000 21.2908 28.4683 48.3139 98.073
75000 21.8163 28.3621 49.6136 99.7919
76000 22.4854 27.7099 48.8124 99.0076
77000 24.4541 30.1738 47.9882 102.616
78000 24.8947 29.0986 49.1761 103.169
79000 23.6021 29.3516 51.377 104.331
80000 22.8653 30.8125 52.3924 106.07
81000 24.7 29.7022 52.9519 107.354
82000 22.5802 29.8646 55.6475 108.092
83000 22.9922 30.4207 57.2075 110.62
84000 24.022 29.611 56.1473 109.78
85000 23.6332 29.5799 58.0493 111.262
86000 21.9554 29.9228 61.8278 113.706
87000 22.3883 30.0298 61.6983 114.116
88000 20.9619 29.3215 61.5727 111.856
89000 22.2923 28.9324 64.2102 115.435
90000 22.5711 27.7699 64.263 114.604
91000 23.7501 28.4563 65.8502 118.057
92000 23.0222 27.6432 67.376 118.041
93000 24.4301 29.0052 65.4569 118.892
94000 23.4268 28.0727 65.4067 116.906
95000 23.5405 27.9926 70.4874 122.02
96000 23.4756 29.5081 67.9122 120.896
97000 24.7119 27.769 68.9688 121.45
98000 24.5749 26.8803 67.2378 118.693
99000 24.9728 29.6699 68.509 123.152
100000 24.5716 28.1921 68.9715 121.735
101000 24.9208 29.9923 70.7582 125.671
102000 24.8974 29.4944 69.8381 124.23
103000 25.2593 30.4171 74.9834 130.66
104000 26.6527 30.2416 78.1711 135.065
105000 27.1766 30.7951 79.2008 137.173
106000 26.2653 32.9542 84.0801 143.3
107000 25.8629 32.6006 83.3746 141.838
108000 26.8492 31.8714 82.5735 141.294
109000 27.4071 32.6384 84.7497 144.795
110000 26.089 31.8417 84.0338 141.965
111000 27.3149 32.9899 78.6785 138.983
112000 27.5075 31.8465 77.4987 136.853
113000 28.3398 31.0435 81.0354 140.419
114000 28.4747 30.2598 79.0805 137.815
115000 28.8971 30.858 80.6323 140.387
116000 28.7471 31.2615 81.7378 141.746
117000 28.1602 31.4457 81.2504 140.856
118000 28.5452 30.4135 81.2647 140.223
