r_A,N_N,P_O,P_N
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,4.396384469604507217e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,6.648375302240290807e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,1.564370367928293870e+00,8.692682070143739059e-01
1.524999999999999911e+00,0.000000000000000000e+00,2.200376656081534676e+01,1.051575217784792216e+01
1.575000000000000178e+00,0.000000000000000000e+00,2.109514613427514007e+01,1.707405849710254842e+01
1.625000000000000000e+00,0.000000000000000000e+00,4.082488425822511147e+00,3.289045569050062401e+00
1.675000000000000266e+00,0.000000000000000000e+00,1.789852311146736374e+00,1.912618509127631938e+01
1.725000000000000089e+00,0.000000000000000000e+00,3.805480347611007175e-01,9.089187901607408193e+00
1.774999999999999911e+00,0.000000000000000000e+00,2.676449283553762257e-02,1.863364469627287523e+00
1.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.128021298357563040e-01
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.775000000000000355e+00,2.400293656406672360e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.825000000000000178e+00,7.095004074817675699e-01,0.000000000000000000e+00,2.956748356531331209e-02
2.875000000000000000e+00,1.363858781227743400e+00,7.593278617196060065e-03,0.000000000000000000e+00
2.925000000000000266e+00,1.766917804761021449e+00,2.458504390453112795e-03,8.233484358012098381e-02
2.975000000000000089e+00,3.182941106141249588e+00,2.844529369356186069e-02,3.458887186345644960e-01
3.025000000000000355e+00,3.709633899532353674e+00,7.109366896177078676e-02,5.388253862200412803e-01
3.075000000000000178e+00,2.793668609239623901e+00,2.023929915701893345e-01,7.222339118617218112e-01
3.125000000000000000e+00,2.498449657994490369e+00,3.074093188259099385e-01,4.823458506659274447e-01
3.175000000000000266e+00,9.312698693315896170e-01,3.477933558013055482e-01,6.074496823132796708e-01
3.225000000000000089e+00,1.268651129812386591e+00,4.888756435048833837e-01,3.376345491541180577e-01
3.275000000000000355e+00,5.250967321719032244e-01,5.911991302666459447e-01,5.037874950927931916e-01
3.325000000000000178e+00,1.716090401871367410e-01,6.511635218761067101e-01,8.730805041863262117e-01
3.375000000000000000e+00,6.589338705238526606e-01,8.826060050772406296e-01,8.688583080147874727e-01
3.425000000000000266e+00,0.000000000000000000e+00,8.880962414025290741e-01,9.013819066946237024e-01
3.475000000000000089e+00,0.000000000000000000e+00,1.067807578347387487e+00,1.576763784857448059e+00
3.525000000000000355e+00,0.000000000000000000e+00,1.178974658345442128e+00,1.173433404771706767e+00
3.575000000000000178e+00,1.467284009937193101e-01,1.456274680340594152e+00,1.159192991204594181e+00
