LAMMPS data file via write_data, version 10 Sep 2025, timestep = 110164, units = metal

192 atoms
4 atom types

-0.46426546791675527 25.37361946791714 xlo xhi
-0.4065978662000198 22.221897268636152 ylo yhi
-0.17928645219118433 9.798588368128229 zlo zhi
0.42451738201514844 0.01992349308140057 5.917137497827613 xy xz yz

Masses

1 6.939999998214724
2 91.22399997653315
3 15.99899999588435
4 35.44999999088069

Atoms # atomic/kk

94 4 0.9001532849307168 2.332080334919739 3.335115075210506 0 1 1
81 4 6.4560296126732455 3.1760960884608354 1.8016590926063216 0 1 0
64 2 7.435731847733705 1.9965144006220163 3.743741529856534 0 1 0
115 4 13.01059232148606 1.3119939467652704 2.633689325164606 0 0 0
102 1 13.351946485702756 3.0278363015345993 4.401292501561504 1 0 0
137 4 15.46413717079187 1.5798066707221912 0.14703766029073267 0 0 1
113 4 15.60446888764582 3.2948523812570705 3.3677131041269948 0 0 1
110 2 24.391250271143676 2.548766024890522 3.048980004381133 0 0 0
28 4 24.875419565940454 2.5019397665286487 0.14095175981584943 -1 0 0
122 4 22.081442236668344 3.2082206976406744 1.8538632383010671 0 0 0
21 4 2.6344030688808044 6.1834966528148145 2.1515516326634216 0 0 0
51 1 0.7531420569637972 6.172205258793377 3.6344354290388083 0 0 0
116 4 8.270073213905464 4.160723811298916 4.632131771787019 1 0 -1
25 4 10.64306098128158 6.680803488299107 1.683142183198538 0 0 0
45 4 11.58654681770355 9.739459506007707 9.70825541584679 0 0 -1
59 1 12.36086372082001 6.023834680256427 0.029718799813829834 0 0 0
114 4 16.24844007371891 7.382498604403234 4.735843405196514 0 0 0
48 3 17.24215467139566 6.809692194260063 0.8437153124935025 0 0 0
138 4 19.179696058398576 6.007217215012144 3.2274840105485154 0 0 0
111 2 17.42717034149441 7.776356640728483 2.535415718977376 0 0 0
56 1 21.542608803994078 6.680037340226849 3.0972438008539336 0 1 -1
161 4 22.08799026224397 6.5433433184050855 0.7064063587024698 0 0 1
112 2 23.433543758221724 4.608973969809823 0.0652494019836237 0 0 1
130 4 24.75106628047724 5.074775996684339 2.326802035945552 0 0 1
83 4 0.20764038704573096 8.401780211282777 2.983124374922304 0 1 0
13 2 2.3501774669281574 8.58695856195168 1.7991486385607296 0 0 1
37 4 2.12540171757924 11.05390307604968 2.2950370540028 0 0 1
75 4 5.426651728065059 11.434514867393938 5.1598597300064375 0 0 0
35 4 4.74464255703526 8.99550569039219 2.061794626796121 0 0 1
