LAMMPS data file via write_data, version 10 Sep 2025, timestep = 110000, units = metal

192 atoms
4 atom types

-0.30570712251417653 25.215061122514232 xlo xhi
-0.2677344585936261 22.083033861029186 ylo yhi
-0.11805561514443408 9.737357531081429 zlo zhi
0.4193071433401148 0.019678965628362216 5.844514561894278 xy xz yz

Masses

1 6.939999998214724
2 91.22399997653315
3 15.99899999588435
4 35.44999999088069

Atoms # atomic/kk

44 4 1.829797733577672 2.7454067182227337 0.8361507650893389 0 0 0
134 4 1.3375268167533934 3.8535666221246423 4.208261160753308 1 0 0
48 4 5.1826421697897604 2.7525303556309417 3.5436619843334625 0 0 0
175 4 11.90935541829715 1.1182235891561298 0.6362349012719285 0 1 -1
31 4 10.867160831090862 2.5097185324787747 3.462192566554722 0 0 0
7 1 13.843247539723516 5.963520827006508 9.70944391926745 -1 -1 -2
186 4 14.301771302655812 3.0730674513152354 2.2214057754292944 0 1 0
168 4 20.412748838929232 1.4441434935020767 2.036326604958903 0 1 0
111 2 19.003543731456524 3.0625713171915394 3.5875815029034546 0 0 1
119 4 17.91984759638907 3.3573289245046998 1.2217283977619702 0 0 0
150 1 22.518754681771547 1.7812489137922558 1.1039396915451987 0 0 1
116 4 23.90343924808529 3.3720519079243587 2.1525274868218047 0 0 0
110 2 0.7484491572291407 4.590478201799114 1.9865141319534523 1 0 0
142 3 2.0784438181815736 6.045217468294273 1.7675750111860187 1 0 0
63 2 3.1758253334950086 7.579059696630055 1.3763818370764809 0 0 1
161 4 5.459767469463613 6.85679943145899 1.5072631085284094 1 0 1
135 4 7.590289606551041 5.077071123877604 3.965551899227649 1 0 -1
158 2 11.816608030814844 3.571195927263568 1.447584379574535 0 1 0
185 4 9.672403417005098 4.167748581194269 0.7552152406073571 0 1 0
141 4 12.356071522961956 5.8510506933632405 2.259977883702829 0 0 1
5 1 14.394142178980244 5.118124920831811 3.562746484802194 0 0 -1
130 4 16.046109501705025 7.666876155792405 1.990460580814557 0 0 1
125 4 18.156986835026856 5.024952687197196 4.581607300010422 0 0 1
32 4 19.000407083621184 6.906681955402503 0.08794658602082236 -1 0 0
133 4 20.641355511743306 4.822534328883413 2.772300888868371 0 0 1
22 4 24.82264685812087 6.46512493826455 3.1623155597323036 -1 0 0
153 1 22.907597348295226 5.149354452017537 3.5409317612983804 0 0 1
